"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,110,128.467364,0.150897,32.188934,0.535443,536.8,49.5,3.45,0.26,07/10/2021 09:57:16,-1,146.058,12.927,215,0,0,0.0,0.0
2,-1,1,110,145.542510,0.151221,36.456815,0.534256,513.8,47.9,3.45,0.26,07/10/2021 09:57:16,-1,139.791,12.613,200,0,0,0.0,0.0
3,-1,1,110,300.698908,0.260794,75.237692,0.526212,139.8,35.2,2.26,0.62,07/10/2021 09:57:16,-1,57.976,14.423,182,0,0,0.0,0.0
4,-1,1,110,557.308114,0.410926,139.376393,0.515169,84.4,33.9,2.23,0.98,07/10/2021 09:57:16,-1,35.588,13.692,178,0,0,0.0,0.0
5,-1,1,110,2646.104488,0.007734,661.464780,0.393727,174620.3,421.2,5.10,0.01,07/10/2021 09:57:16,-1,31522.804,118.773,20,0,0,0.0,0.0
6,-1,1,110,5293.657354,0.547752,1323.212676,0.403180,24.9,6.1,4.69,1.21,07/10/2021 09:57:16,-1,5.000,1.409,0,0,0,0.0,0.0
7,-1,1,110,5843.232841,0.352473,1460.577420,0.406701,163.8,15.4,8.26,0.69,07/10/2021 09:57:16,-1,18.638,2.102,0,0,0,0.0,0.0
