"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,116,209.794078,0.242216,52.516302,0.531894,1010.2,128.8,3.61,0.25,07/10/2021 10:08:27,-1,262.749,32.946,1185,0,0,0.0,0.0
2,-1,1,116,214.011907,0.175414,53.570536,0.529962,1768.8,170.3,3.61,0.25,07/10/2021 10:08:27,-1,460.058,37.932,1254,0,0,0.0,0.0
3,-1,1,116,218.400586,0.255147,54.667473,0.531679,1906.7,241.8,3.61,0.25,07/10/2021 10:08:27,-1,495.925,50.756,1308,0,0,0.0,0.0
4,-1,1,116,222.000000,0.594956,55.567136,0.548148,1331.7,285.6,3.61,0.25,07/10/2021 10:08:27,-1,346.352,70.512,1339,0,0,0.0,0.0
5,-1,1,116,225.170818,0.650732,56.359672,0.551883,1440.3,302.9,3.61,0.25,07/10/2021 10:08:27,-1,374.604,74.772,1357,0,0,0.0,0.0
6,-1,1,116,228.329554,1.430490,57.149189,0.636968,484.3,240.4,3.61,0.25,07/10/2021 10:08:27,-1,125.967,62.992,1365,0,0,0.0,0.0
7,-1,1,116,238.415011,0.051879,59.670018,0.526613,177849.1,472.7,3.13,0.02,07/10/2021 10:08:27,-1,51630.994,7503.857,730,0,0,0.0,0.0
8,-1,1,116,291.208245,0.363419,72.865529,0.530644,115.3,28.3,2.87,0.39,07/10/2021 10:08:27,-1,37.667,8.801,113,0,0,0.0,0.0
9,-1,1,116,299.622632,0.182576,74.968680,0.524223,248.6,34.7,2.87,0.39,07/10/2021 10:08:27,-1,81.226,11.029,118,0,0,0.0,0.0
10,-1,1,116,339.472619,0.279129,84.929064,0.524166,94.9,28.3,2.05,0.68,07/10/2021 10:08:27,-1,43.599,12.979,129,0,0,0.0,0.0
11,-1,1,116,395.651140,0.290650,98.970717,0.520769,238.9,39.9,3.76,0.57,07/10/2021 10:08:27,-1,59.726,9.269,132,0,0,0.0,0.0
12,-1,1,116,411.394058,0.386411,102.905612,0.523595,172.3,36.7,3.76,0.57,07/10/2021 10:08:27,-1,43.070,8.717,135,0,0,0.0,0.0
13,-1,1,116,629.374478,0.406088,157.389164,0.510266,70.8,27.4,2.29,0.95,07/10/2021 10:08:27,-1,29.100,11.028,112,0,0,0.0,0.0
14,-1,1,116,817.699670,0.644710,204.460481,0.513803,43.2,25.3,2.43,1.58,07/10/2021 10:08:27,-1,16.714,9.387,84,0,0,0.0,0.0
15,-1,1,116,930.282031,0.867908,232.600104,0.527444,64.5,25.0,4.09,0.45,07/10/2021 10:08:27,-1,14.828,5.607,66,0,0,0.0,0.0
16,-1,1,116,953.953777,0.199658,238.516786,0.481882,318.2,33.6,4.09,0.45,07/10/2021 10:08:27,-1,73.116,7.728,66,0,0,0.0,0.0
17,-1,1,116,1180.096517,0.442092,295.040486,0.478432,113.0,27.7,4.01,1.04,07/10/2021 10:08:27,-1,26.461,6.253,48,0,0,0.0,0.0
18,-1,1,116,1311.096281,0.490509,327.783484,0.473919,50.7,19.3,2.77,1.13,07/10/2021 10:08:27,-1,17.210,6.459,37,0,0,0.0,0.0
19,-1,1,116,1353.228198,0.472519,338.314230,0.470419,109.0,25.9,4.47,1.13,07/10/2021 10:08:27,-1,22.919,5.334,35,0,0,0.0,0.0
20,-1,1,116,1407.166594,0.256226,351.795970,0.456781,268.3,30.1,5.11,0.61,07/10/2021 10:08:27,-1,49.342,5.791,33,0,0,0.0,0.0
21,-1,1,116,2042.950489,0.346545,510.708247,0.427908,490.0,39.9,10.26,0.83,07/10/2021 10:08:27,-1,44.846,3.598,21,0,0,0.0,0.0
22,-1,1,116,2331.829569,0.255980,582.912707,0.411099,198.1,22.7,4.84,0.57,07/10/2021 10:08:27,-1,38.441,4.734,16,0,0,0.0,0.0
23,-1,1,116,2436.522591,0.180637,609.080414,0.404289,378.3,26.8,5.59,0.39,07/10/2021 10:08:27,-1,63.578,5.110,13,0,0,0.0,0.0
24,-1,1,116,2987.780503,0.763665,746.865675,0.427502,29.1,13.1,3.70,1.77,07/10/2021 10:08:27,-1,7.392,3.497,11,0,0,0.0,0.0
25,-1,1,116,3441.000966,1.132880,860.146770,0.467212,38.3,16.3,5.80,2.53,07/10/2021 10:08:27,-1,6.199,2.468,9,0,0,0.0,0.0
26,-1,1,116,3644.030648,0.230543,910.893430,0.372790,256.3,22.1,5.82,0.51,07/10/2021 10:08:27,-1,41.377,4.134,9,0,0,0.0,0.0
27,-1,1,116,3801.173614,1.012170,950.170843,0.445281,29.1,13.5,4.75,2.36,07/10/2021 10:08:27,-1,5.755,2.659,8,0,0,0.0,0.0
28,-1,1,116,3875.686184,0.320773,968.795036,0.374439,147.2,18.9,5.35,0.69,07/10/2021 10:08:27,-1,25.855,3.585,9,0,0,0.0,0.0
29,-1,1,116,4480.222921,0.375424,1119.897180,0.377275,158.1,19.4,6.72,0.86,07/10/2021 10:08:27,-1,22.104,3.016,7,0,0,0.0,0.0
30,-1,1,116,4952.216151,0.984430,1237.870472,0.445597,51.6,16.4,6.91,2.27,07/10/2021 10:08:27,-1,7.019,2.237,7,0,0,0.0,0.0
