"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,136,264.381614,1.238364,66.160293,0.609158,1023.7,429.0,3.67,1.57,18/10/2021 09:24:24,-1,81.765,106.846,523,0,0,0.0,0.0
2,-1,1,136,291.577282,0.141044,72.957769,0.523973,1309.2,122.6,3.71,0.22,18/10/2021 09:24:24,-1,331.111,25.188,932,0,0,0.0,0.0
3,-1,1,136,299.829571,0.101733,75.020403,0.522838,2068.9,152.5,3.71,0.22,18/10/2021 09:24:24,-1,523.259,29.010,1023,0,0,0.0,0.0
4,-1,1,136,339.130440,0.161899,84.843538,0.521100,761.3,82.0,3.21,0.01,18/10/2021 09:24:24,-1,219.786,23.475,610,0,0,0.0,0.0
5,-1,1,136,352.329953,0.004509,88.142716,0.518626,170753.3,690.3,3.21,0.01,18/10/2021 09:24:24,-1,49293.000,163.877,385,0,0,0.0,0.0
6,-1,1,136,742.721341,0.255086,185.719873,0.496797,134.0,31.4,2.37,0.61,18/10/2021 09:24:24,-1,53.050,12.560,137,0,0,0.0,0.0
7,-1,1,136,953.749923,0.148584,238.465834,0.480740,368.9,36.7,3.25,0.34,18/10/2021 09:24:24,-1,106.593,10.960,106,0,0,0.0,0.0
8,-1,1,136,1180.398383,0.247430,295.115936,0.469569,208.5,30.4,3.66,0.53,18/10/2021 09:24:24,-1,53.533,7.606,66,0,0,0.0,0.0
9,-1,1,136,1198.545000,0.502186,299.651629,0.481062,94.9,24.9,3.66,0.53,18/10/2021 09:24:24,-1,24.379,6.172,62,0,0,0.0,0.0
10,-1,1,136,1352.363039,0.388534,338.097986,0.465641,107.6,26.7,3.50,0.96,18/10/2021 09:24:24,-1,28.924,7.294,54,0,0,0.0,0.0
11,-1,1,136,1407.603522,0.160251,351.905179,0.454015,427.7,34.2,4.40,0.37,18/10/2021 09:24:24,-1,91.285,7.590,50,0,0,0.0,0.0
12,-1,1,136,2043.243447,0.283915,510.781471,0.425003,801.4,45.6,11.21,0.65,18/10/2021 09:24:24,-1,67.178,4.050,28,0,0,0.0,0.0
13,-1,1,136,2332.315698,0.174509,583.034213,0.408404,342.2,28.2,4.58,0.39,18/10/2021 09:24:24,-1,70.239,6.367,26,0,0,0.0,0.0
14,-1,1,136,2437.270820,0.153166,609.267431,0.403550,540.6,31.8,5.59,0.33,18/10/2021 09:24:24,-1,90.864,5.954,23,0,0,0.0,0.0
16,-1,1,136,2909.072229,0.523057,727.192778,0.406483,102.8,22.2,5.39,1.23,18/10/2021 09:24:24,-1,17.898,3.882,19,0,0,0.0,0.0
17,-1,1,136,3179.432902,0.673851,794.768617,0.413227,42.1,16.2,3.79,1.59,18/10/2021 09:24:24,-1,10.445,4.146,17,0,0,0.0,0.0
18,-1,1,136,3440.250988,0.879675,859.959315,0.431812,64.5,20.1,6.28,2.00,18/10/2021 09:24:24,-1,9.657,2.891,14,0,0,0.0,0.0
19,-1,1,136,3644.916278,0.241601,911.114790,0.373215,380.7,28.6,7.13,0.55,18/10/2021 09:24:24,-1,50.157,4.207,13,0,0,0.0,0.0
20,-1,1,136,3859.635338,0.561398,964.783175,0.391873,119.0,19.3,6.87,0.60,18/10/2021 09:24:24,-1,16.260,2.568,12,0,0,0.0,0.0
21,-1,1,136,3875.802752,0.295564,968.824172,0.373140,257.3,24.3,6.87,0.60,18/10/2021 09:24:24,-1,35.171,3.567,11,0,0,0.0,0.0
22,-1,1,136,4481.883991,0.267926,1120.312359,0.371517,192.0,20.9,5.34,0.62,18/10/2021 09:24:24,-1,33.786,4.202,11,0,0,0.0,0.0
23,-1,1,136,4953.924509,0.726141,1238.297471,0.413495,89.6,20.6,7.01,1.71,18/10/2021 09:24:24,-1,12.013,2.789,12,0,0,0.0,0.0
24,-1,1,136,5512.503947,0.443235,1377.912726,0.401156,65.4,13.0,4.77,0.99,18/10/2021 09:24:24,-1,12.884,2.955,5,0,0,0.0,0.0
25,-1,1,136,5634.398366,0.801686,1408.379870,0.438046,49.8,14.1,6.22,1.78,18/10/2021 09:24:24,-1,7.520,2.123,5,0,0,0.0,0.0
26,-1,1,136,5844.904106,0.206468,1460.995148,0.400447,3922.2,65.8,7.03,0.21,18/10/2021 09:24:24,-1,389.234,43.411,4,0,0,0.0,0.0
27,-1,1,136,6353.947116,0.667565,1588.228922,0.450911,68.5,13.4,7.41,1.46,18/10/2021 09:24:24,-1,8.685,1.837,2,0,0,0.0,0.0
29,-1,1,136,6554.904767,0.781895,1638.457683,0.471177,27.4,8.8,5.14,1.73,18/10/2021 09:24:24,-1,5.000,1.824,2,0,0,0.0,0.0
30,-1,1,136,6919.921160,0.543373,1729.692436,0.468291,46.3,10.0,5.27,1.07,18/10/2021 09:24:24,-1,8.254,1.956,1,0,0,0.0,0.0
31,-1,1,136,7059.811518,0.302153,1764.657611,0.462313,291.1,20.7,9.35,0.63,18/10/2021 09:24:24,-1,29.241,2.509,1,0,0,0.0,0.0
32,-1,1,136,7390.046618,0.871550,1847.198884,0.523316,37.8,10.1,6.92,1.86,18/10/2021 09:24:24,-1,5.136,1.481,1,0,0,0.0,0.0
