"SERIAL #,""PEAK_ID"",""EMPLOYEE_ID"",""PEAKEVAL_ID"",""POS"",""POSUNC"",""E"",""EUNC"",""AREA"",""AREAUNC"",""FWHM"",""FWHMUNC"",""CREATIONDATE"",""PEAKEVALPEAK_ID"",""HEIGHT"",""HEIGHTUNC"",""BACKGROUND"",""EFF"",""EFFUNC"",""EFF.CORR.AREA"",""EFF.CORR.AREA UNC"""
1,-1,1,83,186.076543,0.384666,46.588175,0.538736,430.7,115.3,3.34,0.94,28/09/2021 18:00:40,-1,121.279,29.051,1275,0,0,0.0,0.0
2,-1,1,83,252.736934,0.293156,63.249740,0.530547,756.2,141.3,3.66,0.71,28/09/2021 18:00:40,-1,194.295,32.288,1707,0,0,0.0,0.0
3,-1,1,83,291.396301,0.062679,72.912533,0.523033,3720.4,170.5,3.39,0.09,28/09/2021 18:00:40,-1,1031.073,38.520,2036,0,0,0.0,0.0
4,-1,1,83,299.960157,0.034945,75.053043,0.522283,7338.0,213.8,3.39,0.09,28/09/2021 18:00:40,-1,2033.631,45.690,2076,0,0,0.0,0.0
5,-1,1,83,308.348147,0.173706,77.149596,0.523438,1270.0,142.9,3.39,0.09,28/09/2021 18:00:40,-1,351.953,36.403,2100,0,0,0.0,0.0
6,-1,1,83,339.209975,0.084367,84.863417,0.519948,3393.4,164.0,3.82,0.17,28/09/2021 18:00:40,-1,834.691,37.071,2237,0,0,0.0,0.0
7,-1,1,83,349.035141,0.177223,87.319188,0.520737,1554.8,139.0,3.82,0.17,28/09/2021 18:00:40,-1,382.447,31.895,2275,0,0,0.0,0.0
8,-1,1,83,360.148849,0.823597,90.097026,0.557490,320.9,128.5,3.82,0.17,28/09/2021 18:00:40,-1,78.940,31.086,2318,0,0,0.0,0.0
9,-1,1,83,370.452120,0.153265,92.672298,0.518806,1834.9,149.2,3.82,0.17,28/09/2021 18:00:40,-1,451.357,34.177,2358,0,0,0.0,0.0
10,-1,1,83,742.728255,0.191269,185.721601,0.495003,1358.4,148.7,4.00,0.46,28/09/2021 18:00:40,-1,318.653,32.158,1751,0,0,0.0,0.0
11,-1,1,83,836.423174,0.354125,209.140365,0.494670,418.2,110.4,2.98,0.85,28/09/2021 18:00:40,-1,131.737,32.490,1442,0,0,0.0,0.0
12,-1,1,83,953.881033,0.048544,238.498604,0.479449,4847.5,137.2,3.85,0.11,28/09/2021 18:00:40,-1,1182.924,33.477,1190,0,0,0.0,0.0
13,-1,1,83,967.063259,0.191797,241.793462,0.480871,1043.3,97.2,3.85,0.11,28/09/2021 18:00:40,-1,254.585,23.063,1155,0,0,0.0,0.0
14,-1,1,83,1079.886141,0.489977,269.993203,0.487180,531.6,126.0,4.86,1.20,28/09/2021 18:00:40,-1,102.824,21.589,1016,0,0,0.0,0.0
15,-1,1,83,1109.597952,0.476485,277.419581,0.484595,402.2,107.9,4.05,1.16,28/09/2021 18:00:40,-1,93.335,22.923,961,0,0,0.0,0.0
16,-1,1,83,1180.329673,0.082492,295.098762,0.465939,2426.7,109.8,4.06,0.20,28/09/2021 18:00:40,-1,561.025,25.264,806,0,0,0.0,0.0
17,-1,1,83,1279.838601,0.004313,319.970720,0.459607,184404.0,439.6,4.10,0.01,28/09/2021 18:00:40,-1,42253.624,124.786,647,0,0,0.0,0.0
18,-1,1,83,1311.214798,0.409688,327.813107,0.469092,505.1,97.3,4.99,1.01,28/09/2021 18:00:40,-1,95.181,16.618,587,0,0,0.0,0.0
19,-1,1,83,1352.227477,0.128213,338.064103,0.456535,1113.6,84.2,3.75,0.30,28/09/2021 18:00:40,-1,278.684,20.752,562,0,0,0.0,0.0
20,-1,1,83,1407.048402,0.046641,351.766429,0.452426,4534.1,106.0,4.36,0.10,28/09/2021 18:00:40,-1,977.910,24.633,516,0,0,0.0,0.0
21,-1,1,83,1851.022043,0.257579,462.736308,0.433246,654.2,76.5,4.99,0.62,28/09/2021 18:00:40,-1,123.138,13.561,349,0,0,0.0,0.0
22,-1,1,83,2041.925050,2.819122,510.451942,0.819847,7154.0,168.0,8.85,1.21,28/09/2021 18:00:40,-1,369.711,1244.068,312,0,0,0.0,0.0
23,-1,1,83,2331.919270,0.056873,582.935127,0.406334,3684.9,87.9,5.19,0.13,28/09/2021 18:00:40,-1,666.366,17.516,256,0,0,0.0,0.0
24,-1,1,83,2436.363133,0.041701,609.040558,0.401902,5715.3,98.1,5.29,0.09,28/09/2021 18:00:40,-1,1015.224,19.996,241,0,0,0.0,0.0
25,-1,1,83,2645.203919,0.358114,661.239685,0.403800,256.9,51.2,3.95,0.86,28/09/2021 18:00:40,-1,61.164,11.879,222,0,0,0.0,0.0
