"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,101,291.503894,0.119142,72.939425,0.523638,525.5,41.3,3.05,0.15,04/10/2021 13:57:17,-1,161.888,12.319,167,0,0,0.0,0.0
2,-1,1,101,299.978222,0.073160,75.057558,0.522529,954.5,49.9,3.05,0.15,04/10/2021 13:57:17,-1,294.056,15.796,174,0,0,0.0,0.0
3,-1,1,101,332.009812,0.787934,83.063758,0.556057,930.7,122.6,3.80,0.91,04/10/2021 13:57:17,-1,79.433,67.694,269,0,0,0.0,0.0
4,-1,1,101,338.149727,0.736114,84.598411,0.551207,1133.7,124.4,3.80,0.91,04/10/2021 13:57:17,-1,96.755,85.556,296,0,0,0.0,0.0
5,-1,1,101,487.996799,0.003461,122.052237,0.509450,172541.8,418.0,3.31,0.01,04/10/2021 13:57:17,-1,48914.176,146.109,178,0,0,0.0,0.0
6,-1,1,101,545.487034,0.067143,136.421749,0.505891,21186.3,147.3,3.32,0.05,04/10/2021 13:57:17,-1,5635.000,724.982,31,0,0,0.0,0.0
7,-1,1,101,1180.185561,0.349797,295.062742,0.473631,36.2,10.3,2.68,0.84,04/10/2021 13:57:17,-1,12.668,4.174,6,0,0,0.0,0.0
8,-1,1,101,1352.248329,0.543177,338.069315,0.475214,20.9,8.7,2.80,1.19,04/10/2021 13:57:17,-1,7.031,3.169,4,0,0,0.0,0.0
9,-1,1,101,1407.135401,0.448235,351.788174,0.465941,67.9,13.5,5.02,1.08,04/10/2021 13:57:17,-1,12.689,2.805,4,0,0,0.0,0.0
10,-1,1,101,2436.488371,0.602526,609.071861,0.429060,55.2,11.5,6.35,1.34,04/10/2021 13:57:17,-1,8.156,1.870,1,0,0,0.0,0.0
11,-1,1,101,2767.789631,0.286422,691.879616,0.395980,107.5,13.1,5.11,0.60,04/10/2021 13:57:17,-1,19.776,2.893,1,0,0,0.0,0.0
12,-1,1,101,3873.647134,0.679111,968.285382,0.403238,23.3,7.5,4.37,1.41,04/10/2021 13:57:17,-1,5.000,1.737,1,0,0,0.0,0.0
13,-1,1,101,4479.802386,0.610224,1119.792068,0.395971,23.2,6.8,4.36,1.40,04/10/2021 13:57:17,-1,5.000,1.647,0,0,0,0.0,0.0
14,-1,1,101,4692.223888,0.695524,1172.886186,0.406521,30.4,8.3,5.62,1.60,04/10/2021 13:57:17,-1,5.085,1.662,0,0,0,0.0,0.0
15,-1,1,101,5328.942566,0.567705,1332.032109,0.405790,29.4,7.7,4.70,1.19,04/10/2021 13:57:17,-1,5.876,1.811,0,0,0,0.0,0.0
16,-1,1,101,5843.043730,0.232717,1460.530153,0.401275,334.1,20.9,8.26,0.44,04/10/2021 13:57:17,-1,37.991,2.868,0,0,0,0.0,0.0
17,-1,1,101,7059.292509,0.505573,1764.527886,0.473256,28.3,6.0,5.32,1.13,04/10/2021 13:57:17,-1,5.000,1.324,0,0,0,0.0,0.0
