"SERIAL #,""PEAK_ID"",""EMPLOYEE_ID"",""PEAKEVAL_ID"",""POS"",""POSUNC"",""E"",""EUNC"",""AREA"",""AREAUNC"",""FWHM"",""FWHMUNC"",""CREATIONDATE"",""PEAKEVALPEAK_ID"",""HEIGHT"",""HEIGHTUNC"",""BACKGROUND"",""EFF"",""EFFUNC"",""EFF.CORR.AREA"",""EFF.CORR.AREA UNC"""
1,-1,1,78,291.405776,0.111204,72.914901,0.523536,1318.2,86.3,3.63,0.14,24/09/2021 11:01:29,-1,341.479,20.645,659,0,0,0.0,0.0
2,-1,1,78,299.880107,0.069791,75.033035,0.522507,2279.7,97.3,3.63,0.14,24/09/2021 11:01:29,-1,590.548,23.934,672,0,0,0.0,0.0
3,-1,1,78,308.445411,0.345389,77.173907,0.528723,399.4,72.9,3.63,0.14,24/09/2021 11:01:29,-1,103.456,18.340,690,0,0,0.0,0.0
4,-1,1,78,339.216257,0.154984,84.864987,0.520962,1057.3,96.4,3.82,0.33,24/09/2021 11:01:29,-1,259.917,21.364,737,0,0,0.0,0.0
5,-1,1,78,349.318683,0.297169,87.390058,0.524120,530.2,81.4,3.82,0.33,24/09/2021 11:01:29,-1,130.333,18.530,747,0,0,0.0,0.0
6,-1,1,78,364.326388,3.698981,91.141189,1.059677,41.9,73.1,3.82,0.33,24/09/2021 11:01:29,-1,10.303,17.893,761,0,0,0.0,0.0
7,-1,1,78,370.611384,0.383274,92.712105,0.526173,418.6,81.9,3.82,0.33,24/09/2021 11:01:29,-1,102.895,19.162,767,0,0,0.0,0.0
8,-1,1,78,742.786507,0.362456,185.736161,0.500945,370.1,85.2,3.57,0.87,24/09/2021 11:01:29,-1,97.388,20.600,666,0,0,0.0,0.0
9,-1,1,78,953.833214,0.117740,238.486652,0.480201,1207.5,76.4,4.06,0.27,24/09/2021 11:01:29,-1,279.517,17.828,409,0,0,0.0,0.0
10,-1,1,78,1171.927759,0.723575,292.998729,0.499850,124.2,44.7,3.88,0.45,24/09/2021 11:01:29,-1,30.069,10.497,244,0,0,0.0,0.0
11,-1,1,78,1180.309179,0.190980,295.093640,0.467925,514.7,57.0,3.88,0.45,24/09/2021 11:01:29,-1,124.590,13.344,242,0,0,0.0,0.0
12,-1,1,78,1279.860436,0.004478,319.976178,0.459606,165744.7,413.8,4.09,0.01,24/09/2021 11:01:29,-1,38114.000,117.008,221,0,0,0.0,0.0
13,-1,1,78,1352.376738,0.373238,338.101410,0.464858,317.8,52.0,5.19,0.90,24/09/2021 11:01:29,-1,57.511,8.881,153,0,0,0.0,0.0
14,-1,1,78,1407.038079,0.098216,351.763848,0.452942,1080.4,54.2,4.28,0.22,24/09/2021 11:01:29,-1,236.933,12.539,143,0,0,0.0,0.0
15,-1,1,78,2042.907383,0.147426,510.697473,0.420669,2216.4,78.9,10.19,0.36,24/09/2021 11:01:29,-1,204.405,7.193,90,0,0,0.0,0.0
16,-1,1,78,2331.697563,0.110366,582.879713,0.407031,992.0,46.3,5.22,0.25,24/09/2021 11:01:29,-1,178.406,9.176,70,0,0,0.0,0.0
17,-1,1,78,2436.356627,0.091164,609.038931,0.402413,1421.7,51.5,5.56,0.20,24/09/2021 11:01:29,-1,240.167,9.830,69,0,0,0.0,0.0
18,-1,1,78,2645.679467,0.399244,661.358547,0.406186,112.5,27.6,3.53,0.94,24/09/2021 11:01:29,-1,29.932,7.419,60,0,0,0.0,0.0
19,-1,1,78,2766.310978,0.496848,691.510032,0.408823,89.3,26.8,3.59,1.17,24/09/2021 11:01:29,-1,23.368,6.926,57,0,0,0.0,0.0
20,-1,1,78,2908.190190,0.344318,726.972315,0.394416,295.0,37.8,6.01,0.81,24/09/2021 11:01:29,-1,46.111,5.791,54,0,0,0.0,0.0
21,-1,1,78,3072.957559,0.408022,768.155425,0.393564,118.4,27.1,3.75,0.87,24/09/2021 11:01:29,-1,29.676,6.645,55,0,0,0.0,0.0
22,-1,1,78,3106.192777,0.925106,776.462468,0.444161,47.0,21.8,3.75,0.87,24/09/2021 11:01:29,-1,11.772,5.394,53,0,0,0.0,0.0
23,-1,1,78,3179.768817,0.584181,794.852578,0.404602,171.9,35.4,6.50,1.45,24/09/2021 11:01:29,-1,24.857,5.036,48,0,0,0.0,0.0
24,-1,1,78,3440.915261,0.576790,860.125348,0.398614,173.8,34.8,6.50,1.35,24/09/2021 11:01:29,-1,25.131,4.826,46,0,0,0.0,0.0
25,-1,1,78,3644.223467,0.125238,910.941624,0.369635,952.2,43.3,6.00,0.28,24/09/2021 11:01:29,-1,149.193,7.492,45,0,0,0.0,0.0
26,-1,1,78,3735.194394,0.564800,933.679535,0.393351,95.2,26.1,4.50,1.33,24/09/2021 11:01:29,-1,19.886,5.393,40,0,0,0.0,0.0
27,-1,1,78,3858.027119,0.424727,964.381206,0.380992,224.9,29.8,6.36,0.42,24/09/2021 11:01:29,-1,33.221,4.233,40,0,0,0.0,0.0
28,-1,1,78,3874.946562,0.195996,968.610170,0.369027,566.7,38.1,6.36,0.42,24/09/2021 11:01:29,-1,83.699,5.747,40,0,0,0.0,0.0
