"SERIAL #,""PEAK_ID"",""EMPLOYEE_ID"",""PEAKEVAL_ID"",""POS"",""POSUNC"",""E"",""EUNC"",""AREA"",""AREAUNC"",""FWHM"",""FWHMUNC"",""CREATIONDATE"",""PEAKEVALPEAK_ID"",""HEIGHT"",""HEIGHTUNC"",""BACKGROUND"",""EFF"",""EFFUNC"",""EFF.CORR.AREA"",""EFF.CORR.AREA UNC"""
1,-1,1,76,291.815772,0.304824,73.017378,0.528292,207.1,42.4,2.99,0.40,23/09/2021 16:31:32,-1,65.127,12.495,241,0,0,0.0,0.0
2,-1,1,76,300.205655,0.193041,75.114405,0.524417,344.0,48.2,2.99,0.40,23/09/2021 16:31:32,-1,108.184,14.130,241,0,0,0.0,0.0
3,-1,1,76,338.697723,0.376557,84.735381,0.528012,175.5,49.1,3.04,0.91,23/09/2021 16:31:32,-1,54.194,14.138,253,0,0,0.0,0.0
4,-1,1,76,953.356486,0.210284,238.367495,0.482201,216.5,33.2,2.99,0.49,23/09/2021 16:31:32,-1,67.919,10.490,106,0,0,0.0,0.0
5,-1,1,76,1179.721640,0.261617,294.946786,0.470089,127.0,26.8,2.68,0.62,23/09/2021 16:31:32,-1,44.474,9.419,79,0,0,0.0,0.0
6,-1,1,76,1279.877094,0.004351,319.980342,0.459605,164081.1,407.1,4.07,0.01,23/09/2021 16:31:32,-1,37918.524,115.777,65,0,0,0.0,0.0
7,-1,1,76,1353.034769,0.435083,338.265883,0.468168,50.9,16.8,2.80,0.97,23/09/2021 16:31:32,-1,17.115,5.642,25,0,0,0.0,0.0
8,-1,1,76,1407.020966,0.244640,351.759571,0.456392,232.9,26.2,4.81,0.56,23/09/2021 16:31:32,-1,45.483,5.366,24,0,0,0.0,0.0
10,-1,1,76,2043.047241,0.253686,510.732430,0.423816,641.9,38.1,10.15,0.60,23/09/2021 16:31:32,-1,59.413,3.785,14,0,0,0.0,0.0
11,-1,1,76,2216.876948,0.574530,554.180644,0.435433,86.0,19.6,5.64,1.33,23/09/2021 16:31:32,-1,14.327,3.292,13,0,0,0.0,0.0
12,-1,1,76,2255.832221,0.388945,563.917398,0.420742,95.2,18.0,4.47,0.88,23/09/2021 16:31:32,-1,20.016,4.013,13,0,0,0.0,0.0
13,-1,1,76,2332.001563,0.302818,582.955696,0.413075,156.1,20.6,4.93,0.64,23/09/2021 16:31:32,-1,29.744,4.125,13,0,0,0.0,0.0
14,-1,1,76,2436.749600,0.215589,609.137154,0.405349,200.3,20.6,4.54,0.49,23/09/2021 16:31:32,-1,41.422,4.906,12,0,0,0.0,0.0
16,-1,1,76,3644.727132,0.403299,911.067514,0.381846,133.7,19.4,5.96,0.91,23/09/2021 16:31:32,-1,21.058,3.339,10,0,0,0.0,0.0
17,-1,1,76,3744.968257,1.010085,936.122483,0.445481,22.6,12.2,4.05,2.38,23/09/2021 16:31:32,-1,5.237,2.813,8,0,0,0.0,0.0
18,-1,1,76,3875.683372,0.529457,968.794333,0.388959,111.1,18.3,7.06,1.18,23/09/2021 16:31:32,-1,14.784,2.575,7,0,0,0.0,0.0
20,-1,1,76,4481.187388,0.494302,1120.138246,0.385747,96.5,14.1,6.33,0.09,23/09/2021 16:31:32,-1,14.318,2.091,4,0,0,0.0,0.0
21,-1,1,76,4951.640747,1.054357,1237.726651,0.455473,47.8,14.1,8.04,2.47,23/09/2021 16:31:32,-1,5.590,1.701,3,0,0,0.0,0.0
22,-1,1,76,5512.180852,0.886169,1377.831969,0.444641,33.2,10.2,6.24,2.09,23/09/2021 16:31:32,-1,5.000,1.613,2,0,0,0.0,0.0
23,-1,1,76,5843.302166,0.093591,1460.594748,0.397735,1512.6,40.3,7.80,0.18,23/09/2021 16:31:32,-1,182.209,5.977,1,0,0,0.0,0.0
24,-1,1,76,7058.563473,0.450505,1764.345666,0.469727,117.9,13.9,8.31,0.87,23/09/2021 16:31:32,-1,13.319,1.811,0,0,0,0.0,0.0
