"SERIAL #,""PEAK_ID"",""EMPLOYEE_ID"",""PEAKEVAL_ID"",""POS"",""POSUNC"",""E"",""EUNC"",""AREA"",""AREAUNC"",""FWHM"",""FWHMUNC"",""CREATIONDATE"",""PEAKEVALPEAK_ID"",""HEIGHT"",""HEIGHTUNC"",""BACKGROUND"",""EFF"",""EFFUNC"",""EFF.CORR.AREA"",""EFF.CORR.AREA UNC"""
1,-1,1,75,186.712999,0.290269,46.747256,0.534985,349.7,86.6,2.65,0.71,23/09/2021 16:30:08,-1,123.937,28.627,952,0,0,0.0,0.0
2,-1,1,75,253.648940,0.419254,63.477693,0.535748,402.3,115.2,3.40,1.03,23/09/2021 16:30:08,-1,111.184,28.804,1269,0,0,0.0,0.0
3,-1,1,75,284.225635,0.695642,71.120247,0.551422,262.3,111.3,3.47,0.10,23/09/2021 16:30:08,-1,71.066,29.445,1439,0,0,0.0,0.0
4,-1,1,75,291.382460,0.073449,72.909073,0.523122,2800.4,149.1,3.47,0.10,23/09/2021 16:30:08,-1,758.703,32.945,1470,0,0,0.0,0.0
5,-1,1,75,299.995442,0.040592,75.061862,0.522306,5575.0,178.7,3.47,0.10,23/09/2021 16:30:08,-1,1510.425,38.439,1500,0,0,0.0,0.0
6,-1,1,75,308.372148,0.237168,77.155595,0.524990,812.2,117.3,3.47,0.10,23/09/2021 16:30:08,-1,220.053,29.737,1524,0,0,0.0,0.0
7,-1,1,75,339.118765,0.100748,84.840620,0.520137,2423.5,188.2,3.81,0.26,23/09/2021 16:30:08,-1,598.160,33.417,1635,0,0,0.0,0.0
8,-1,1,75,349.314148,0.201986,87.388925,0.521281,1165.4,156.2,3.81,0.26,23/09/2021 16:30:08,-1,287.642,31.204,1668,0,0,0.0,0.0
9,-1,1,75,370.077725,0.202458,92.578719,0.519884,1026.0,137.3,3.49,0.50,23/09/2021 16:30:08,-1,275.970,33.948,1713,0,0,0.0,0.0
10,-1,1,75,576.971734,0.436894,144.291256,0.515229,255.2,108.3,2.24,1.02,23/09/2021 16:30:08,-1,106.873,42.304,1935,0,0,0.0,0.0
11,-1,1,75,742.506739,0.224675,185.666233,0.495893,1097.8,133.7,4.27,0.54,23/09/2021 16:30:08,-1,241.368,26.660,1284,0,0,0.0,0.0
12,-1,1,75,953.828909,0.057636,238.485576,0.479515,3681.8,118.7,3.97,0.13,23/09/2021 16:30:08,-1,871.230,28.323,876,0,0,0.0,0.0
13,-1,1,75,966.685654,0.324816,241.699081,0.485337,548.4,83.0,3.97,0.13,23/09/2021 16:30:08,-1,129.768,19.248,861,0,0,0.0,0.0
14,-1,1,75,1180.351838,0.104325,295.104302,0.466211,1498.8,88.8,3.88,0.24,23/09/2021 16:30:08,-1,362.512,21.137,571,0,0,0.0,0.0
15,-1,1,75,1199.321753,0.675180,299.845776,0.494067,199.7,63.5,3.88,0.24,23/09/2021 16:30:08,-1,48.292,15.146,541,0,0,0.0,0.0
16,-1,1,75,1279.850542,0.005405,319.973705,0.459607,166542.4,456.5,4.08,0.01,23/09/2021 16:30:08,-1,38134.414,122.811,465,0,0,0.0,0.0
17,-1,1,75,1311.010236,0.373318,327.761977,0.467203,301.4,57.6,3.73,0.30,23/09/2021 16:30:08,-1,75.843,14.106,416,0,0,0.0,0.0
18,-1,1,75,1328.091469,0.510915,332.031380,0.474315,216.4,56.6,3.73,0.30,23/09/2021 16:30:08,-1,54.451,13.735,404,0,0,0.0,0.0
19,-1,1,75,1352.671611,0.136442,338.175113,0.456659,878.6,70.5,3.73,0.30,23/09/2021 16:30:08,-1,221.111,17.243,393,0,0,0.0,0.0
20,-1,1,75,1407.069963,0.057058,351.771818,0.452500,3051.8,99.2,4.33,0.14,23/09/2021 16:30:08,-1,662.752,20.699,363,0,0,0.0,0.0
21,-1,1,75,1637.584423,0.356557,409.388215,0.448487,190.6,50.0,2.97,0.86,23/09/2021 16:30:08,-1,60.235,15.363,293,0,0,0.0,0.0
22,-1,1,75,1851.261727,0.371544,462.796216,0.438373,440.5,67.6,5.60,0.91,23/09/2021 16:30:08,-1,73.853,10.584,242,0,0,0.0,0.0
23,-1,1,75,2042.957350,0.093835,510.709962,0.419706,5124.3,118.1,9.83,0.23,23/09/2021 16:30:08,-1,489.729,11.417,220,0,0,0.0,0.0
24,-1,1,75,2331.795530,0.069543,582.904199,0.406462,2501.4,73.4,5.18,0.16,23/09/2021 16:30:08,-1,453.340,14.739,186,0,0,0.0,0.0
25,-1,1,75,2436.422057,0.052593,609.055285,0.401980,3741.6,80.7,5.31,0.11,23/09/2021 16:30:08,-1,661.739,16.279,171,0,0,0.0,0.0
26,-1,1,75,2646.436655,0.504754,661.547804,0.413430,323.3,58.6,6.56,1.12,23/09/2021 16:30:08,-1,46.332,7.363,151,0,0,0.0,0.0
27,-1,1,75,2662.952247,0.825925,665.675827,0.444021,193.5,52.0,6.56,1.12,23/09/2021 16:30:08,-1,27.726,6.609,151,0,0,0.0,0.0
28,-1,1,75,2908.125549,0.186331,726.956158,0.387722,675.1,53.0,5.27,0.44,23/09/2021 16:30:08,-1,120.437,9.571,138,0,0,0.0,0.0
29,-1,1,75,3051.372411,1.499395,762.760281,0.534224,83.4,39.8,5.99,0.82,23/09/2021 16:30:08,-1,13.085,6.081,133,0,0,0.0,0.0
30,-1,1,75,3071.784147,0.354250,767.862134,0.390328,395.8,51.7,5.99,0.82,23/09/2021 16:30:08,-1,62.089,7.784,133,0,0,0.0,0.0
31,-1,1,75,3142.696198,0.512827,785.586388,0.399401,242.2,42.2,5.64,0.63,23/09/2021 16:30:08,-1,40.336,6.853,127,0,0,0.0,0.0
32,-1,1,75,3151.102251,1.496377,787.687456,0.531804,80.2,36.6,5.64,0.63,23/09/2021 16:30:08,-1,13.364,6.130,126,0,0,0.0,0.0
33,-1,1,75,3178.285931,0.319428,794.481935,0.385726,387.0,46.8,5.64,0.63,23/09/2021 16:30:08,-1,64.439,7.528,122,0,0,0.0,0.0
34,-1,1,75,3342.845131,0.437713,835.613014,0.389276,153.9,37.6,3.87,1.03,23/09/2021 16:30:08,-1,37.363,8.917,123,0,0,0.0,0.0
35,-1,1,75,3441.326065,0.252667,860.228027,0.376950,440.7,45.8,5.31,0.59,23/09/2021 16:30:08,-1,77.995,8.208,114,0,0,0.0,0.0
