"SERIAL #,""PEAK_ID"",""EMPLOYEE_ID"",""PEAKEVAL_ID"",""POS"",""POSUNC"",""E"",""EUNC"",""AREA"",""AREAUNC"",""FWHM"",""FWHMUNC"",""CREATIONDATE"",""PEAKEVALPEAK_ID"",""HEIGHT"",""HEIGHTUNC"",""BACKGROUND"",""EFF"",""EFFUNC"",""EFF.CORR.AREA"",""EFF.CORR.AREA UNC"""
1,-1,1,82,291.479130,0.093100,72.933236,0.523310,2033.5,110.9,3.57,0.11,28/09/2021 17:57:27,-1,534.516,27.078,1178,0,0,0.0,0.0
2,-1,1,82,300.002318,0.049626,75.063581,0.522354,4184.5,129.7,3.57,0.11,28/09/2021 17:57:27,-1,1099.915,32.940,1191,0,0,0.0,0.0
3,-1,1,82,308.605409,0.254107,77.213898,0.525469,711.7,94.9,3.57,0.11,28/09/2021 17:57:27,-1,187.088,24.226,1208,0,0,0.0,0.0
4,-1,1,82,339.247037,0.122643,84.872681,0.520422,1790.8,129.2,3.82,0.26,28/09/2021 17:57:27,-1,440.132,28.542,1330,0,0,0.0,0.0
5,-1,1,82,349.659348,0.264550,87.475207,0.523004,795.7,106.8,3.82,0.26,28/09/2021 17:57:27,-1,195.559,24.501,1352,0,0,0.0,0.0
7,-1,1,82,370.077064,0.264065,92.578554,0.521608,809.8,110.1,3.82,0.26,28/09/2021 17:57:27,-1,199.013,25.751,1396,0,0,0.0,0.0
8,-1,1,82,742.735352,0.176959,185.723375,0.494670,857.7,103.8,3.28,0.43,28/09/2021 17:57:27,-1,245.347,28.230,1069,0,0,0.0,0.0
9,-1,1,82,953.777144,0.075527,238.472637,0.479673,2569.0,106.6,4.05,0.18,28/09/2021 17:57:27,-1,595.353,24.485,732,0,0,0.0,0.0
10,-1,1,82,966.781969,0.302392,241.723154,0.484425,554.4,78.2,4.05,0.18,28/09/2021 17:57:27,-1,128.485,17.595,710,0,0,0.0,0.0
11,-1,1,82,1117.935606,0.611737,279.503553,0.493512,118.1,60.0,2.64,1.48,28/09/2021 17:57:27,-1,42.024,20.696,510,0,0,0.0,0.0
12,-1,1,82,1180.148901,0.136528,295.053579,0.466743,1172.9,80.9,4.33,0.32,28/09/2021 17:57:27,-1,254.413,17.562,450,0,0,0.0,0.0
13,-1,1,82,1199.752588,0.991999,299.953462,0.526380,139.9,60.4,4.33,0.32,28/09/2021 17:57:27,-1,30.348,12.932,433,0,0,0.0,0.0
14,-1,1,82,1279.828823,0.004340,319.968277,0.459608,175256.6,425.2,4.09,0.01,28/09/2021 17:57:27,-1,40237.535,120.835,374,0,0,0.0,0.0
15,-1,1,82,1352.501115,0.194940,338.132498,0.457993,765.9,72.0,4.72,0.47,28/09/2021 17:57:27,-1,152.542,13.820,311,0,0,0.0,0.0
16,-1,1,82,1407.055821,0.065074,351.768283,0.452568,2595.1,91.8,4.62,0.16,28/09/2021 17:57:27,-1,528.073,17.794,276,0,0,0.0,0.0
17,-1,1,82,1851.460549,0.435363,462.845911,0.442018,353.9,62.0,5.76,1.05,28/09/2021 17:57:27,-1,57.747,9.159,192,0,0,0.0,0.0
18,-1,1,82,2042.565660,0.108494,510.612061,0.419945,3949.0,105.4,9.83,0.26,28/09/2021 17:57:27,-1,377.290,10.075,177,0,0,0.0,0.0
19,-1,1,82,2331.826367,0.077700,582.911907,0.406553,1994.2,65.3,5.19,0.17,28/09/2021 17:57:27,-1,361.286,12.962,143,0,0,0.0,0.0
20,-1,1,82,2349.891391,1.122631,587.427205,0.492977,94.9,37.2,5.19,0.17,28/09/2021 17:57:27,-1,17.200,6.688,138,0,0,0.0,0.0
21,-1,1,82,2436.304623,0.058103,609.025933,0.402032,2749.3,69.4,5.00,0.12,28/09/2021 17:57:27,-1,516.384,14.759,135,0,0,0.0,0.0
22,-1,1,82,2647.061838,0.528706,661.704067,0.415274,109.6,34.7,3.54,1.01,28/09/2021 17:57:27,-1,29.107,8.645,124,0,0,0.0,0.0
23,-1,1,82,2662.351170,0.650115,665.525589,0.425393,86.0,31.8,3.54,1.01,28/09/2021 17:57:27,-1,22.843,8.124,122,0,0,0.0,0.0
24,-1,1,82,2908.464961,0.240826,727.040993,0.389582,426.0,44.9,5.08,0.58,28/09/2021 17:57:27,-1,78.710,8.492,111,0,0,0.0,0.0
26,-1,1,82,3071.815047,0.487079,767.869857,0.399171,314.8,50.6,6.95,1.18,28/09/2021 17:57:27,-1,42.570,6.395,105,0,0,0.0,0.0
27,-1,1,82,3178.937648,0.318895,794.644830,0.385683,312.1,42.3,5.19,0.75,28/09/2021 17:57:27,-1,56.485,7.605,101,0,0,0.0,0.0
28,-1,1,82,3441.693051,0.325119,860.319755,0.380397,274.8,39.9,4.94,0.76,28/09/2021 17:57:27,-1,52.218,7.465,93,0,0,0.0,0.0
29,-1,1,82,3644.318163,0.088012,910.965294,0.368962,2033.8,61.3,6.41,0.19,28/09/2021 17:57:27,-1,297.897,10.161,87,0,0,0.0,0.0
30,-1,1,82,3735.814069,0.374828,933.834421,0.378904,196.4,35.4,4.52,0.88,28/09/2021 17:57:27,-1,40.810,7.120,81,0,0,0.0,0.0
31,-1,1,82,3858.097372,0.313484,964.398765,0.374197,441.6,40.0,6.85,0.27,28/09/2021 17:57:27,-1,60.540,5.306,77,0,0,0.0,0.0
32,-1,1,82,3875.247554,0.127901,968.685402,0.367153,1304.2,53.9,6.85,0.27,28/09/2021 17:57:27,-1,178.778,7.879,75,0,0,0.0,0.0
33,-1,1,82,4003.986643,0.580844,1000.863351,0.392734,102.7,31.3,4.16,1.39,28/09/2021 17:57:27,-1,23.180,6.956,72,0,0,0.0,0.0
36,-1,1,82,4480.651472,0.123264,1120.004295,0.366719,1269.8,48.1,6.61,0.10,28/09/2021 17:57:27,-1,180.554,6.813,69,0,0,0.0,0.0
37,-1,1,82,4952.777741,0.253755,1238.010840,0.376887,510.8,43.3,6.60,0.59,28/09/2021 17:57:27,-1,72.680,6.256,66,0,0,0.0,0.0
38,-1,1,82,5122.843905,0.655556,1280.518367,0.409256,93.3,28.3,4.62,1.38,28/09/2021 17:57:27,-1,18.966,5.358,49,0,0,0.0,0.0
39,-1,1,82,5135.995539,1.295950,1283.805579,0.495772,42.7,23.9,4.62,1.38,28/09/2021 17:57:27,-1,8.682,4.679,48,0,0,0.0,0.0
40,-1,1,82,5399.642358,1.029953,1349.703310,0.460779,49.2,23.2,4.72,2.38,28/09/2021 17:57:27,-1,9.790,4.477,33,0,0,0.0,0.0
41,-1,1,82,5510.586905,0.291599,1377.433567,0.392325,395.8,34.2,7.29,0.63,28/09/2021 17:57:27,-1,51.015,4.558,29,0,0,0.0,0.0
42,-1,1,82,5540.625022,0.862266,1384.941504,0.442480,111.3,25.0,7.29,0.63,28/09/2021 17:57:27,-1,14.345,3.122,29,0,0,0.0,0.0
43,-1,1,82,5606.049639,1.115976,1401.294191,0.478327,76.7,24.2,6.94,1.22,28/09/2021 17:57:27,-1,10.381,3.144,29,0,0,0.0,0.0
44,-1,1,82,5631.533932,0.571470,1407.663913,0.414801,162.2,28.9,6.94,1.22,28/09/2021 17:57:27,-1,21.973,3.827,29,0,0,0.0,0.0
45,-1,1,82,5843.735631,0.095064,1460.703091,0.397773,21173.2,154.8,7.09,0.09,28/09/2021 17:57:27,-1,2075.434,112.328,25,0,0,0.0,0.0
46,-1,1,82,5983.979436,0.619434,1495.756610,0.431337,110.4,22.7,6.59,1.42,28/09/2021 17:57:27,-1,15.745,3.225,16,0,0,0.0,0.0
47,-1,1,82,6036.627894,0.457235,1508.915934,0.420588,208.1,26.8,7.79,1.03,28/09/2021 17:57:27,-1,25.097,3.313,16,0,0,0.0,0.0
48,-1,1,82,6153.554812,1.028296,1538.141466,0.483703,56.1,20.0,6.32,2.41,28/09/2021 17:57:27,-1,8.345,2.901,15,0,0,0.0,0.0
49,-1,1,82,6352.984065,0.323110,1587.988210,0.426573,341.9,27.8,8.30,0.53,28/09/2021 17:57:27,-1,38.725,3.300,15,0,0,0.0,0.0
51,-1,1,82,6370.337946,0.385519,1592.325760,0.430601,276.0,26.0,8.30,0.53,28/09/2021 17:57:27,-1,31.259,2.994,15,0,0,0.0,0.0
52,-1,1,82,6483.043750,0.492043,1620.496238,0.442576,188.6,22.9,8.23,0.75,28/09/2021 17:57:27,-1,21.535,2.591,12,0,0,0.0,0.0
53,-1,1,82,6521.917148,0.443998,1630.212527,0.441260,205.9,23.3,8.23,0.75,28/09/2021 17:57:27,-1,23.505,2.740,12,0,0,0.0,0.0
54,-1,1,82,6551.452985,1.215153,1637.594921,0.525274,64.6,17.8,8.23,0.75,28/09/2021 17:57:27,-1,7.372,1.967,12,0,0,0.0,0.0
55,-1,1,82,6646.094778,0.489244,1661.250353,0.450326,90.1,18.0,5.21,1.11,28/09/2021 17:57:27,-1,16.238,3.446,12,0,0,0.0,0.0
