"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,113,128.511362,0.095620,32.199931,0.534644,822.6,53.1,3.22,0.20,07/10/2021 10:00:57,-1,240.164,15.584,221,0,0,0.0,0.0
2,-1,1,113,145.818854,0.164851,36.525887,0.534488,423.9,43.7,3.22,0.20,07/10/2021 10:00:57,-1,123.754,12.334,204,0,0,0.0,0.0
3,-1,1,113,300.153733,0.170978,75.101427,0.523942,416.7,49.1,3.23,0.40,07/10/2021 10:00:57,-1,121.028,13.776,207,0,0,0.0,0.0
4,-1,1,113,370.042596,0.537254,92.569938,0.534559,58.6,30.9,2.08,0.90,07/10/2021 10:00:57,-1,26.470,13.673,201,0,0,0.0,0.0
5,-1,1,113,385.467001,0.494323,96.425222,0.530944,65.8,31.8,2.08,0.90,07/10/2021 10:00:57,-1,29.704,13.689,201,0,0,0.0,0.0
6,-1,1,113,1903.639271,0.947533,475.887826,0.487236,170.1,64.6,5.81,2.35,07/10/2021 10:00:57,-1,27.509,9.582,231,0,0,0.0,0.0
7,-1,1,113,2080.802996,0.660082,520.169368,0.448703,66.9,29.8,3.23,1.57,07/10/2021 10:00:57,-1,19.470,8.250,89,0,0,0.0,0.0
8,-1,1,113,2437.259111,0.466269,609.264505,0.418294,103.1,23.9,4.35,1.05,07/10/2021 10:00:57,-1,22.253,5.021,31,0,0,0.0,0.0
9,-1,1,113,2646.084947,0.007823,661.459896,0.393727,167505.1,412.2,5.14,0.01,07/10/2021 10:00:57,-1,30053.193,113.705,21,0,0,0.0,0.0
10,-1,1,113,3644.719300,0.545745,911.065557,0.392749,51.5,10.8,5.65,1.25,07/10/2021 10:00:57,-1,8.566,2.015,1,0,0,0.0,0.0
11,-1,1,113,3874.906253,0.745871,968.600095,0.410532,38.4,10.2,6.02,1.60,07/10/2021 10:00:57,-1,5.994,1.704,1,0,0,0.0,0.0
12,-1,1,113,5842.968010,0.166231,1460.511227,0.399202,553.1,26.0,7.87,0.32,07/10/2021 10:00:57,-1,66.055,3.835,0,0,0,0.0,0.0
13,-1,1,113,6350.830761,0.504823,1587.449998,0.437353,27.0,5.7,5.07,1.14,07/10/2021 10:00:57,-1,5.000,1.138,0,0,0,0.0,0.0
14,-1,1,113,7059.950964,0.557067,1764.692465,0.476890,38.1,8.2,5.53,1.09,07/10/2021 10:00:57,-1,6.466,1.644,0,0,0,0.0,0.0
