"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,121,197.045430,0.222171,49.329816,0.532229,812.3,119.0,3.56,0.54,07/10/2021 13:14:04,-1,214.455,28.155,1194,0,0,0.0,0.0
3,-1,1,121,226.000000,0.218264,56.566924,0.530128,1503.9,163.3,3.09,0.03,07/10/2021 13:14:04,-1,445.196,102.451,2055,0,0,0.0,0.0
4,-1,1,121,229.228684,0.221490,57.373924,0.529989,2504.7,198.0,3.09,0.03,07/10/2021 13:14:04,-1,741.452,154.797,2051,0,0,0.0,0.0
5,-1,1,121,232.231132,0.329249,58.124376,0.533270,1838.4,210.8,3.09,0.03,07/10/2021 13:14:04,-1,544.212,114.548,2045,0,0,0.0,0.0
6,-1,1,121,238.418422,0.072746,59.670871,0.526767,190978.5,553.9,3.09,0.03,07/10/2021 13:14:04,-1,56533.998,12265.312,1138,0,0,0.0,0.0
7,-1,1,121,291.514717,0.300862,72.942130,0.528171,290.4,49.0,3.44,0.26,07/10/2021 13:14:04,-1,79.407,12.782,302,0,0,0.0,0.0
8,-1,1,121,299.977251,0.118817,75.057316,0.523052,826.8,63.9,3.44,0.26,07/10/2021 13:14:04,-1,226.070,16.699,315,0,0,0.0,0.0
9,-1,1,121,339.703649,0.261884,84.986810,0.523594,413.5,65.0,3.81,0.57,07/10/2021 13:14:04,-1,102.064,14.298,333,0,0,0.0,0.0
10,-1,1,121,349.004982,0.457175,87.311650,0.531286,229.6,57.3,3.81,0.57,07/10/2021 13:14:04,-1,56.670,12.964,338,0,0,0.0,0.0
11,-1,1,121,371.080061,0.284493,92.829250,0.522211,394.6,67.7,3.85,0.70,07/10/2021 13:14:04,-1,96.281,15.050,349,0,0,0.0,0.0
12,-1,1,121,410.071627,0.405313,102.575074,0.524574,110.7,46.0,2.11,0.94,07/10/2021 13:14:04,-1,49.361,19.539,365,0,0,0.0,0.0
14,-1,1,121,953.903131,0.117250,238.504127,0.480189,854.6,54.9,4.06,0.27,07/10/2021 13:14:04,-1,197.586,12.973,178,0,0,0.0,0.0
15,-1,1,121,966.524834,0.486163,241.658884,0.493697,175.6,39.0,4.06,0.27,07/10/2021 13:14:04,-1,40.605,8.734,171,0,0,0.0,0.0
16,-1,1,121,1180.073220,0.273246,295.034663,0.470481,379.6,48.0,4.98,0.66,07/10/2021 13:14:04,-1,71.577,8.654,122,0,0,0.0,0.0
17,-1,1,121,1351.664567,0.476654,337.923405,0.470766,162.3,38.9,4.52,1.15,07/10/2021 13:14:04,-1,33.727,7.631,100,0,0,0.0,0.0
18,-1,1,121,1406.787930,0.127797,351.701324,0.453417,781.9,46.5,4.78,0.30,07/10/2021 13:14:04,-1,153.796,9.626,91,0,0,0.0,0.0
19,-1,1,121,1850.325520,0.438983,462.562214,0.442297,81.6,25.0,3.10,1.03,07/10/2021 13:14:04,-1,24.732,7.705,59,0,0,0.0,0.0
20,-1,1,121,2042.933675,0.214407,510.704045,0.422464,1185.4,61.3,10.22,0.53,07/10/2021 13:14:04,-1,109.004,5.426,55,0,0,0.0,0.0
21,-1,1,121,2331.878227,0.135821,582.924869,0.407504,643.9,37.3,5.15,0.31,07/10/2021 13:14:04,-1,117.456,7.514,44,0,0,0.0,0.0
22,-1,1,121,2436.337588,0.105086,609.034173,0.402626,918.5,40.6,5.17,0.23,07/10/2021 13:14:04,-1,166.848,8.202,41,0,0,0.0,0.0
23,-1,1,121,2908.269241,0.460470,726.992074,0.401749,213.9,32.9,6.80,1.08,07/10/2021 13:14:04,-1,29.562,4.373,33,0,0,0.0,0.0
24,-1,1,121,3051.497902,1.240922,762.791648,0.491063,41.5,20.1,4.91,1.12,07/10/2021 13:14:04,-1,7.939,3.717,31,0,0,0.0,0.0
25,-1,1,121,3072.421486,0.499122,768.021435,0.400083,113.8,25.3,4.91,1.12,07/10/2021 13:14:04,-1,21.785,4.756,32,0,0,0.0,0.0
27,-1,1,121,3441.269266,0.641674,860.213831,0.404756,120.1,27.5,6.34,1.56,07/10/2021 13:14:04,-1,17.795,4.040,28,0,0,0.0,0.0
28,-1,1,121,3644.143886,0.152143,910.921734,0.370266,734.6,37.0,6.60,0.33,07/10/2021 13:14:04,-1,104.633,5.804,25,0,0,0.0,0.0
29,-1,1,121,3734.315842,0.560773,933.459943,0.393001,68.2,20.3,4.04,1.30,07/10/2021 13:14:04,-1,15.842,4.626,25,0,0,0.0,0.0
30,-1,1,121,3857.883752,0.540798,964.345372,0.390073,135.4,23.0,6.23,0.44,07/10/2021 13:14:04,-1,20.434,3.371,24,0,0,0.0,0.0
