"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,85,148.600961,0.389471,37.221266,0.541524,142.6,43.2,2.92,0.94,04/10/2021 09:40:03,-1,45.854,12.941,201,0,0,0.0,0.0
2,-1,1,85,291.423171,0.080463,72.919249,0.523183,1119.4,55.2,3.30,0.10,04/10/2021 09:40:03,-1,318.307,15.244,240,0,0,0.0,0.0
3,-1,1,85,300.047975,0.052804,75.074993,0.522371,1880.2,65.5,3.30,0.10,04/10/2021 09:40:03,-1,534.669,19.362,250,0,0,0.0,0.0
4,-1,1,85,331.545244,0.546077,82.947641,0.537658,1664.8,175.8,3.81,0.61,04/10/2021 09:40:03,-1,125.617,71.517,341,0,0,0.0,0.0
5,-1,1,85,338.203214,0.511150,84.611780,0.535066,2791.5,217.1,3.81,0.61,04/10/2021 09:40:03,-1,210.636,120.272,367,0,0,0.0,0.0
6,-1,1,85,347.642047,0.965625,86.970988,0.572325,360.7,180.2,3.81,0.61,04/10/2021 09:40:03,-1,27.217,11.598,404,0,0,0.0,0.0
7,-1,1,85,487.996226,0.003489,122.052094,0.509450,170794.9,416.5,3.31,0.01,04/10/2021 09:40:03,-1,48484.421,145.884,221,0,0,0.0,0.0
8,-1,1,85,545.505638,0.122264,136.426399,0.506534,21145.5,148.1,3.32,0.07,04/10/2021 09:40:03,-1,5660.000,1732.760,50,0,0,0.0,0.0
9,-1,1,85,953.750142,0.308710,238.465888,0.485475,121.8,20.8,4.00,0.73,04/10/2021 09:40:03,-1,28.574,5.030,19,0,0,0.0,0.0
10,-1,1,85,1180.725536,0.596288,295.197707,0.488738,63.7,17.5,4.86,1.38,04/10/2021 09:40:03,-1,12.305,3.326,12,0,0,0.0,0.0
11,-1,1,85,1407.221568,0.330236,351.809711,0.459737,103.3,17.2,4.37,0.76,04/10/2021 09:40:03,-1,22.189,3.990,10,0,0,0.0,0.0
13,-1,1,85,2042.915645,0.981453,510.699538,0.485574,171.9,32.3,15.75,2.80,04/10/2021 09:40:03,-1,10.253,1.558,5,0,0,0.0,0.0
14,-1,1,85,2332.177939,0.399892,582.999781,0.418195,59.6,12.7,4.04,0.89,04/10/2021 09:40:03,-1,13.874,3.195,5,0,0,0.0,0.0
15,-1,1,85,2436.772367,0.322309,609.142844,0.409748,139.1,16.5,5.95,0.69,04/10/2021 09:40:03,-1,21.957,2.968,4,0,0,0.0,0.0
16,-1,1,85,2767.474730,0.310217,691.800908,0.397109,128.1,15.5,5.59,0.65,04/10/2021 09:40:03,-1,21.538,2.951,3,0,0,0.0,0.0
17,-1,1,85,3644.368661,0.477205,910.977915,0.387137,74.9,13.1,5.89,1.04,04/10/2021 09:40:03,-1,11.952,2.338,3,0,0,0.0,0.0
18,-1,1,85,3873.600327,0.637634,968.273683,0.398985,44.3,11.3,5.38,1.39,04/10/2021 09:40:03,-1,7.731,2.108,3,0,0,0.0,0.0
19,-1,1,85,4481.612239,0.658039,1120.244436,0.400738,49.3,11.2,6.18,1.42,04/10/2021 09:40:03,-1,7.491,1.863,2,0,0,0.0,0.0
20,-1,1,85,5329.879729,0.841845,1332.266350,0.434541,37.3,9.5,7.00,1.75,04/10/2021 09:40:03,-1,5.000,1.403,1,0,0,0.0,0.0
21,-1,1,85,5510.183992,0.674514,1377.332860,0.420738,25.4,7.6,4.77,1.49,04/10/2021 09:40:03,-1,5.000,1.732,1,0,0,0.0,0.0
22,-1,1,85,5729.163681,0.565312,1432.066176,0.417469,25.8,6.7,4.85,1.15,04/10/2021 09:40:03,-1,5.000,1.510,1,0,0,0.0,0.0
23,-1,1,85,5843.210195,0.149581,1460.571760,0.398799,703.7,29.0,8.11,0.28,04/10/2021 09:40:03,-1,81.561,4.170,0,0,0,0.0,0.0
25,-1,1,85,7058.375892,0.801528,1764.298781,0.498086,45.8,9.7,8.18,1.63,04/10/2021 09:40:03,-1,5.254,1.254,0,0,0,0.0,0.0
