"SERIAL #,""PEAK_ID"",""EMPLOYEE_ID"",""PEAKEVAL_ID"",""POS"",""POSUNC"",""E"",""EUNC"",""AREA"",""AREAUNC"",""FWHM"",""FWHMUNC"",""CREATIONDATE"",""PEAKEVALPEAK_ID"",""HEIGHT"",""HEIGHTUNC"",""BACKGROUND"",""EFF"",""EFFUNC"",""EFF.CORR.AREA"",""EFF.CORR.AREA UNC"""
1,-1,1,80,133.132360,0.366556,33.354936,0.541592,149.5,63.3,1.85,0.82,24/09/2021 11:05:38,-1,75.745,31.161,837,0,0,0.0,0.0
2,-1,1,80,186.312542,0.390469,46.647163,0.538981,304.4,89.3,3.06,0.95,24/09/2021 11:05:38,-1,93.563,24.759,844,0,0,0.0,0.0
3,-1,1,80,253.260882,0.193415,63.380699,0.527646,363.4,78.4,1.97,0.47,24/09/2021 11:05:38,-1,173.418,36.147,1107,0,0,0.0,0.0
4,-1,1,80,291.421469,0.081598,72.918823,0.523194,2488.9,117.0,3.62,0.10,24/09/2021 11:05:38,-1,646.051,28.320,1273,0,0,0.0,0.0
5,-1,1,80,299.995202,0.045987,75.061802,0.522334,4829.9,135.7,3.62,0.10,24/09/2021 11:05:38,-1,1253.709,34.316,1292,0,0,0.0,0.0
6,-1,1,80,308.430565,0.233862,77.170196,0.524893,820.4,99.6,3.62,0.10,24/09/2021 11:05:38,-1,212.942,25.176,1319,0,0,0.0,0.0
7,-1,1,80,339.252496,0.099549,84.874045,0.520113,2307.1,140.3,3.80,0.23,24/09/2021 11:05:38,-1,569.673,30.953,1435,0,0,0.0,0.0
8,-1,1,80,349.208169,0.212118,87.362436,0.521539,1030.1,115.0,3.80,0.23,24/09/2021 11:05:38,-1,254.350,26.453,1457,0,0,0.0,0.0
9,-1,1,80,370.063300,0.216521,92.575113,0.520238,987.5,133.7,3.70,0.53,24/09/2021 11:05:38,-1,251.044,30.834,1509,0,0,0.0,0.0
10,-1,1,80,742.894888,0.184794,185.763250,0.494838,793.1,104.8,3.13,0.44,24/09/2021 11:05:38,-1,237.732,29.445,1143,0,0,0.0,0.0
11,-1,1,80,953.767486,0.065723,238.470223,0.479584,2947.7,112.7,3.90,0.15,24/09/2021 11:05:38,-1,710.783,26.655,801,0,0,0.0,0.0
12,-1,1,80,966.364719,0.327107,241.618864,0.485453,510.4,78.6,3.90,0.15,24/09/2021 11:05:38,-1,123.079,18.452,785,0,0,0.0,0.0
13,-1,1,80,1163.451396,1.101698,290.880088,0.541702,117.5,60.9,3.94,0.29,24/09/2021 11:05:38,-1,28.017,14.375,504,0,0,0.0,0.0
14,-1,1,80,1180.109660,0.122651,295.043771,0.466504,1184.7,82.3,3.94,0.29,24/09/2021 11:05:38,-1,282.422,19.332,490,0,0,0.0,0.0
15,-1,1,80,1279.828939,0.004416,319.968306,0.459608,169094.6,417.9,4.08,0.01,24/09/2021 11:05:38,-1,38920.732,119.197,404,0,0,0.0,0.0
16,-1,1,80,1352.477341,0.188891,338.126556,0.457836,780.0,73.6,4.50,0.45,24/09/2021 11:05:38,-1,162.898,14.643,345,0,0,0.0,0.0
17,-1,1,80,1407.019578,0.060848,351.759224,0.452533,2757.5,83.0,4.42,0.14,24/09/2021 11:05:38,-1,585.751,18.952,311,0,0,0.0,0.0
