"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,120,198.740919,1.029152,49.753598,0.588411,1016.3,237.2,3.56,1.28,07/10/2021 11:11:42,-1,85.389,90.378,655,0,0,0.0,0.0
2,-1,1,120,205.728111,0.935186,51.500026,0.578085,1214.5,202.5,3.56,1.28,07/10/2021 11:11:42,-1,102.041,106.480,760,0,0,0.0,0.0
3,-1,1,120,230.612909,0.298382,57.719906,0.532245,603.2,122.8,3.12,0.01,07/10/2021 11:11:42,-1,174.505,34.022,953,0,0,0.0,0.0
4,-1,1,120,238.420918,0.011749,59.671495,0.526461,180212.0,467.3,3.12,0.01,07/10/2021 11:11:42,-1,52137.000,748.296,493,0,0,0.0,0.0
5,-1,1,120,395.888971,0.173534,99.030162,0.517482,176.9,19.0,3.41,0.29,07/10/2021 11:11:42,-1,48.782,5.495,14,0,0,0.0,0.0
6,-1,1,120,411.488734,0.198691,102.929276,0.516994,152.4,18.2,3.41,0.29,07/10/2021 11:11:42,-1,42.019,5.058,14,0,0,0.0,0.0
7,-1,1,120,2331.786995,0.698277,582.902066,0.442008,29.4,8.9,4.92,1.43,07/10/2021 11:11:42,-1,5.617,1.797,1,0,0,0.0,0.0
8,-1,1,120,3642.859726,0.593703,910.600762,0.397096,21.3,6.9,4.00,1.33,07/10/2021 11:11:42,-1,5.000,2.009,1,0,0,0.0,0.0
9,-1,1,120,3732.716264,0.646758,933.060134,0.401186,23.6,6.9,4.43,1.27,07/10/2021 11:11:42,-1,5.000,1.335,0,0,0,0.0,0.0
10,-1,1,120,3876.663489,0.598531,969.039311,0.395160,21.9,6.8,4.11,1.33,07/10/2021 11:11:42,-1,5.000,1.829,1,0,0,0.0,0.0
11,-1,1,120,5843.333802,0.252239,1460.602655,0.402022,249.7,18.3,7.60,0.47,07/10/2021 11:11:42,-1,30.868,2.694,0,0,0,0.0,0.0
12,-1,1,120,7058.944363,0.518820,1764.440868,0.474131,28.3,6.0,5.32,1.13,07/10/2021 11:11:42,-1,5.000,1.284,0,0,0,0.0,0.0
