"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,99,291.328368,0.183531,72.895553,0.524812,333.3,36.4,3.43,0.24,04/10/2021 13:53:55,-1,91.203,9.567,124,0,0,0.0,0.0
2,-1,1,99,300.127321,0.117162,75.094825,0.523019,573.3,43.2,3.43,0.24,04/10/2021 13:53:55,-1,156.880,11.843,130,0,0,0.0,0.0
3,-1,1,99,404.217149,0.438255,101.111765,0.526615,136.9,51.4,2.59,1.05,04/10/2021 13:53:55,-1,49.702,17.500,351,0,0,0.0,0.0
4,-1,1,99,487.998334,0.004089,122.052621,0.509450,171553.9,468.5,3.31,0.01,04/10/2021 13:53:55,-1,48514.097,150.099,159,0,0,0.0,0.0
5,-1,1,99,545.565802,0.118926,136.441437,0.506480,20825.9,146.4,3.35,0.06,04/10/2021 13:53:55,-1,5453.848,1579.661,24,0,0,0.0,0.0
6,-1,1,99,2511.805334,0.482836,627.897109,0.416637,18.4,5.5,3.46,0.96,04/10/2021 13:53:55,-1,5.000,1.689,0,0,0,0.0,0.0
7,-1,1,99,2767.673560,0.269045,691.850605,0.395222,105.9,12.6,4.84,0.50,04/10/2021 13:53:55,-1,20.565,2.849,1,0,0,0.0,0.0
8,-1,1,99,3644.619151,0.537189,911.040525,0.392013,21.3,6.0,4.00,1.06,04/10/2021 13:53:55,-1,5.000,1.533,0,0,0,0.0,0.0
9,-1,1,99,4692.889299,0.506703,1173.052503,0.388695,34.8,8.0,4.74,1.05,04/10/2021 13:53:55,-1,6.908,1.900,0,0,0,0.0,0.0
10,-1,1,99,5328.958875,0.754133,1332.036186,0.424336,36.1,8.4,6.79,1.49,04/10/2021 13:53:55,-1,5.000,1.257,0,0,0,0.0,0.0
11,-1,1,99,5842.855702,0.278348,1460.483156,0.403079,189.5,16.2,7.18,0.52,04/10/2021 13:53:55,-1,24.809,2.534,0,0,0,0.0,0.0
