"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,94,252.966069,0.205727,63.307012,0.527957,536.3,92.7,2.62,0.48,04/10/2021 12:04:47,-1,192.030,31.248,1137,0,0,0.0,0.0
2,-1,1,94,268.349205,0.676909,67.151980,0.551004,165.0,79.3,2.62,0.48,04/10/2021 12:04:47,-1,59.074,27.494,1218,0,0,0.0,0.0
3,-1,1,94,291.396616,0.085468,72.912611,0.523235,2273.9,115.6,3.49,0.10,04/10/2021 12:04:47,-1,612.727,28.903,1314,0,0,0.0,0.0
4,-1,1,94,299.906574,0.045457,75.039650,0.522337,4687.3,135.7,3.49,0.10,04/10/2021 12:04:47,-1,1263.071,35.359,1331,0,0,0.0,0.0
5,-1,1,94,308.671025,0.229002,77.230298,0.524743,799.6,99.4,3.49,0.10,04/10/2021 12:04:47,-1,215.453,26.054,1355,0,0,0.0,0.0
6,-1,1,94,339.019286,0.101581,84.815755,0.520154,2293.3,134.4,3.82,0.21,04/10/2021 12:04:47,-1,564.092,30.210,1461,0,0,0.0,0.0
7,-1,1,94,349.003736,0.203553,87.311338,0.521340,1088.7,113.3,3.82,0.21,04/10/2021 12:04:47,-1,267.795,26.015,1482,0,0,0.0,0.0
8,-1,1,94,359.362974,1.017993,89.900599,0.577249,210.2,103.1,3.82,0.21,04/10/2021 12:04:47,-1,51.693,24.952,1503,0,0,0.0,0.0
9,-1,1,94,370.633420,0.240720,92.717613,0.520864,930.8,115.7,3.82,0.21,04/10/2021 12:04:47,-1,228.959,26.919,1527,0,0,0.0,0.0
10,-1,1,94,549.778511,0.483739,137.494391,0.519591,201.6,96.5,2.22,1.15,04/10/2021 12:04:47,-1,85.279,38.243,1540,0,0,0.0,0.0
11,-1,1,94,742.837270,0.241356,185.748849,0.496361,1042.2,133.3,4.41,0.59,04/10/2021 12:04:47,-1,222.274,25.735,1230,0,0,0.0,0.0
12,-1,1,94,953.911332,0.079018,238.506177,0.479700,2861.1,124.3,4.07,0.19,04/10/2021 12:04:47,-1,659.922,28.102,1051,0,0,0.0,0.0
13,-1,1,94,966.421057,0.432331,241.632946,0.490564,459.6,90.0,4.07,0.19,04/10/2021 12:04:47,-1,106.014,20.297,1014,0,0,0.0,0.0
14,-1,1,94,1180.300038,0.110660,295.091355,0.466305,1499.1,94.5,3.93,0.26,04/10/2021 12:04:47,-1,358.721,22.110,648,0,0,0.0,0.0
15,-1,1,94,1352.440839,0.212545,338.117432,0.458485,771.9,87.8,4.24,0.51,04/10/2021 12:04:47,-1,171.004,18.321,554,0,0,0.0,0.0
16,-1,1,94,1390.376773,1.708563,347.599405,0.622723,94.3,64.9,4.51,0.15,04/10/2021 12:04:47,-1,19.643,13.473,519,0,0,0.0,0.0
17,-1,1,94,1406.955094,0.065995,351.743106,0.452582,3072.1,98.4,4.51,0.15,04/10/2021 12:04:47,-1,639.591,21.526,505,0,0,0.0,0.0
18,-1,1,94,2043.125657,0.044423,510.752030,0.419189,20415.8,192.8,11.10,0.10,04/10/2021 12:04:47,-1,1727.723,17.663,337,0,0,0.0,0.0
19,-1,1,94,2331.810597,0.092832,582.907965,0.406752,2160.2,83.3,5.35,0.22,04/10/2021 12:04:47,-1,379.414,15.167,295,0,0,0.0,0.0
20,-1,1,94,2436.411752,0.062019,609.052710,0.402064,3327.0,88.8,5.09,0.14,04/10/2021 12:04:47,-1,613.938,17.671,292,0,0,0.0,0.0
21,-1,1,94,2907.665923,0.349788,726.841276,0.394732,483.6,69.5,5.49,0.84,04/10/2021 12:04:47,-1,82.716,11.280,274,0,0,0.0,0.0
22,-1,1,94,3073.416053,0.436572,768.270024,0.395461,369.8,68.1,5.32,1.04,04/10/2021 12:04:47,-1,65.311,11.253,280,0,0,0.0,0.0
23,-1,1,94,3178.710839,0.659571,794.588140,0.411801,369.2,81.5,7.04,1.62,04/10/2021 12:04:47,-1,49.272,9.703,283,0,0,0.0,0.0
24,-1,1,94,3441.234447,0.510529,860.205128,0.392922,394.8,77.4,5.91,1.24,04/10/2021 12:04:47,-1,62.785,11.492,328,0,0,0.0,0.0
25,-1,1,94,3644.149037,0.104886,910.923021,0.369240,2196.1,85.5,5.91,0.24,04/10/2021 12:04:47,-1,349.265,14.059,293,0,0,0.0,0.0
26,-1,1,94,3735.394376,0.618515,933.729520,0.398365,317.8,68.1,6.62,1.51,04/10/2021 12:04:47,-1,45.083,8.940,219,0,0,0.0,0.0
27,-1,1,94,3855.711728,1.847765,963.802481,0.589236,252.8,181.1,6.42,0.30,04/10/2021 12:04:47,-1,37.027,26.724,177,0,0,0.0,0.0
28,-1,1,94,3859.726329,1.179963,964.805918,0.469954,399.6,183.2,6.42,0.30,04/10/2021 12:04:47,-1,58.523,26.601,176,0,0,0.0,0.0
29,-1,1,94,3875.066363,0.131439,968.640114,0.367232,1528.9,68.0,6.42,0.30,04/10/2021 12:04:47,-1,223.891,10.458,169,0,0,0.0,0.0
30,-1,1,94,3888.003767,1.590915,971.873779,0.540209,98.9,44.9,6.42,0.30,04/10/2021 12:04:47,-1,14.485,6.534,164,0,0,0.0,0.0
31,-1,1,94,4462.060692,0.022915,1115.357585,0.365340,175001.7,434.3,6.24,0.02,04/10/2021 12:04:47,-1,23704.380,352.593,97,0,0,0.0,0.0
32,-1,1,94,4480.957460,0.115553,1120.080776,0.366564,1378.2,56.4,6.24,0.02,04/10/2021 12:04:47,-1,186.687,8.142,73,0,0,0.0,0.0
33,-1,1,94,4952.244463,0.326652,1237.877548,0.380368,576.3,51.1,8.46,0.81,04/10/2021 12:04:47,-1,64.025,5.635,73,0,0,0.0,0.0
34,-1,1,94,5510.854180,0.319242,1377.500371,0.393675,444.3,37.6,8.29,0.73,04/10/2021 12:04:47,-1,50.335,4.461,32,0,0,0.0,0.0
35,-1,1,94,5539.164817,1.747603,1384.576530,0.583185,66.8,25.7,8.29,0.73,04/10/2021 12:04:47,-1,7.569,2.841,32,0,0,0.0,0.0
36,-1,1,94,5604.374192,0.826182,1400.875418,0.439991,128.5,27.2,7.51,0.89,04/10/2021 12:04:47,-1,16.079,3.223,32,0,0,0.0,0.0
37,-1,1,94,5632.322835,0.418582,1407.861097,0.403267,270.3,32.8,7.51,0.89,04/10/2021 12:04:47,-1,33.827,4.122,32,0,0,0.0,0.0
39,-1,1,94,5843.599055,0.068868,1460.668955,0.397431,23352.4,163.1,7.13,0.08,04/10/2021 12:04:47,-1,2372.763,77.009,20,0,0,0.0,0.0
40,-1,1,94,5983.426245,0.570099,1495.618341,0.427044,138.3,22.2,7.15,0.71,04/10/2021 12:04:47,-1,18.187,2.860,17,0,0,0.0,0.0
41,-1,1,94,6005.885023,1.105721,1501.231845,0.489065,65.2,19.3,7.15,0.71,04/10/2021 12:04:47,-1,8.570,2.464,17,0,0,0.0,0.0
42,-1,1,94,6036.712680,0.377530,1508.937126,0.415621,232.6,25.9,7.15,0.71,04/10/2021 12:04:47,-1,30.579,3.469,17,0,0,0.0,0.0
43,-1,1,94,6173.346190,0.995338,1543.088262,0.480122,40.9,17.2,5.01,2.20,04/10/2021 12:04:47,-1,7.668,3.211,15,0,0,0.0,0.0
45,-1,1,94,6295.000000,1.556885,1573.495267,0.569742,39.4,14.4,7.40,0.41,04/10/2021 12:04:47,-1,5.000,1.799,14,0,0,0.0,0.0
46,-1,1,94,6321.060761,1.010111,1580.009076,0.487781,73.9,18.4,7.40,0.41,04/10/2021 12:04:47,-1,9.380,2.312,14,0,0,0.0,0.0
47,-1,1,94,6332.293983,0.790212,1582.816786,0.462209,98.8,19.5,7.40,0.41,04/10/2021 12:04:47,-1,12.541,2.433,14,0,0,0.0,0.0
48,-1,1,94,6352.466082,0.237229,1587.858741,0.423010,430.1,29.3,7.40,0.41,04/10/2021 12:04:47,-1,54.602,3.908,15,0,0,0.0,0.0
49,-1,1,94,6370.610641,0.308840,1592.393919,0.426734,305.0,26.6,7.40,0.41,04/10/2021 12:04:47,-1,38.722,3.358,15,0,0,0.0,0.0
50,-1,1,94,6482.962060,0.544656,1620.475820,0.446405,152.7,21.9,7.55,0.79,04/10/2021 12:04:47,-1,19.002,2.672,14,0,0,0.0,0.0
51,-1,1,94,6523.028851,0.477346,1630.490394,0.443483,172.0,22.6,7.55,0.79,04/10/2021 12:04:47,-1,21.401,2.869,14,0,0,0.0,0.0
52,-1,1,94,6552.767725,1.073314,1637.923536,0.505659,67.6,18.1,7.55,0.79,04/10/2021 12:04:47,-1,8.405,2.193,14,0,0,0.0,0.0
53,-1,1,94,6645.937696,0.392576,1661.211091,0.444366,115.8,18.5,5.18,0.90,04/10/2021 12:04:47,-1,20.985,3.645,11,0,0,0.0,0.0
55,-1,1,94,6919.314977,0.313604,1729.540922,0.454933,313.9,27.0,7.95,0.71,04/10/2021 12:04:47,-1,37.106,3.543,12,0,0,0.0,0.0
56,-1,1,94,7058.400351,0.103175,1764.304894,0.456750,1693.8,45.9,8.34,0.21,04/10/2021 12:04:47,-1,190.756,6.218,12,0,0,0.0,0.0
57,-1,1,94,7390.439072,0.375473,1847.296976,0.485011,237.4,24.2,8.03,0.84,04/10/2021 12:04:47,-1,27.766,3.099,10,0,0,0.0,0.0
