"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,69,275.804332,0.062910,69.015367,0.524108,1884.0,69.7,3.34,0.06,22/09/2021 16:32:58,-1,530.665,19.233,429,0,0,0.0,0.0
2,-1,1,69,283.520397,0.040756,70.943974,0.523439,3202.2,81.3,3.34,0.06,22/09/2021 16:32:58,-1,901.936,23.598,429,0,0,0.0,0.0
3,-1,1,69,291.584231,0.093845,72.959505,0.523311,1176.4,62.5,3.34,0.06,22/09/2021 16:32:58,-1,331.356,17.121,429,0,0,0.0,0.0
4,-1,1,69,300.052970,0.056432,75.076241,0.522394,2149.7,72.4,3.34,0.06,22/09/2021 16:32:58,-1,605.500,20.042,429,0,0,0.0,0.0
5,-1,1,69,320.673536,0.110601,80.230290,0.521522,978.2,60.4,3.34,0.06,22/09/2021 16:32:58,-1,275.532,16.521,429,0,0,0.0,0.0
6,-1,1,69,330.259781,0.311298,82.626343,0.525920,315.2,52.6,3.34,0.06,22/09/2021 16:32:58,-1,88.786,14.630,429,0,0,0.0,0.0
7,-1,1,69,339.173014,0.113213,84.854179,0.520293,953.0,60.0,3.34,0.06,22/09/2021 16:32:58,-1,268.432,16.409,429,0,0,0.0,0.0
8,-1,1,69,349.684546,0.240701,87.481505,0.522282,418.6,53.8,3.34,0.06,22/09/2021 16:32:58,-1,117.910,14.885,429,0,0,0.0,0.0
9,-1,1,69,416.585681,0.367315,104.203243,0.522389,140.1,53.5,2.11,0.89,22/09/2021 16:32:58,-1,62.299,23.403,499,0,0,0.0,0.0
10,-1,1,69,954.221791,0.287547,238.583776,0.484633,354.0,67.8,3.38,0.70,22/09/2021 16:32:58,-1,98.426,17.875,444,0,0,0.0,0.0
11,-1,1,69,1407.021949,0.244129,351.759817,0.456375,325.0,42.8,4.11,0.58,22/09/2021 16:32:58,-1,74.230,9.760,129,0,0,0.0,0.0
12,-1,1,69,1583.748980,0.780513,395.932208,0.483551,65.7,30.1,3.73,1.79,22/09/2021 16:32:58,-1,16.547,6.958,70,0,0,0.0,0.0
13,-1,1,69,1646.648260,0.010661,411.653694,0.439066,165388.1,410.1,4.36,0.01,22/09/2021 16:32:58,-1,34954.410,283.634,58,0,0,0.0,0.0
15,-1,1,69,2042.599067,0.294346,510.620410,0.425476,474.3,37.4,8.75,0.70,22/09/2021 16:32:58,-1,50.921,4.156,23,0,0,0.0,0.0
16,-1,1,69,2332.041886,0.184917,582.965775,0.408702,265.9,23.9,4.45,0.42,22/09/2021 16:32:58,-1,56.083,5.732,17,0,0,0.0,0.0
17,-1,1,69,2436.309951,0.165766,609.027265,0.403900,378.8,27.0,5.01,0.35,22/09/2021 16:32:58,-1,71.018,5.651,16,0,0,0.0,0.0
18,-1,1,69,2703.073670,0.088847,675.704056,0.392316,962.3,35.7,5.20,0.18,22/09/2021 16:32:58,-1,173.790,7.583,14,0,0,0.0,0.0
20,-1,1,69,3644.010870,0.316948,910.888487,0.376734,254.6,24.0,7.44,0.72,22/09/2021 16:32:58,-1,32.154,3.379,9,0,0,0.0,0.0
21,-1,1,69,3734.959302,0.977655,933.620774,0.441034,44.5,16.3,5.82,2.26,22/09/2021 16:32:58,-1,7.181,2.555,9,0,0,0.0,0.0
23,-1,1,69,3874.427028,0.477706,968.480314,0.384761,164.4,22.5,7.62,1.09,22/09/2021 16:32:58,-1,20.271,2.885,10,0,0,0.0,0.0
24,-1,1,69,4350.846274,0.402653,1087.559875,0.378348,136.9,19.2,6.24,0.89,22/09/2021 16:32:58,-1,20.607,3.106,8,0,0,0.0,0.0
25,-1,1,69,4461.455911,0.685317,1115.206422,0.403459,60.1,14.3,5.48,0.68,22/09/2021 16:32:58,-1,10.309,2.390,9,0,0,0.0,0.0
26,-1,1,69,4481.252781,0.338438,1120.154591,0.375090,139.8,18.4,5.48,0.68,22/09/2021 16:32:58,-1,23.971,3.374,9,0,0,0.0,0.0
27,-1,1,69,4952.113994,0.586621,1237.844938,0.399388,76.6,16.5,5.81,1.25,22/09/2021 16:32:58,-1,12.385,2.685,8,0,0,0.0,0.0
28,-1,1,69,5166.288095,0.979712,1291.377112,0.448733,24.7,11.0,4.63,2.17,22/09/2021 16:32:58,-1,5.000,2.159,5,0,0,0.0,0.0
29,-1,1,69,5843.798745,0.151137,1460.718867,0.398858,2719.8,55.1,6.72,0.20,22/09/2021 16:32:58,-1,295.736,18.459,2,0,0,0.0,0.0
30,-1,1,69,6370.431422,0.918490,1592.349124,0.478372,37.8,10.5,7.11,2.04,22/09/2021 16:32:58,-1,5.000,1.449,2,0,0,0.0,0.0
31,-1,1,69,6482.771216,0.763719,1620.428119,0.466021,31.4,9.3,5.52,1.74,22/09/2021 16:32:58,-1,5.348,1.738,1,0,0,0.0,0.0
32,-1,1,69,6919.897917,0.533783,1729.686626,0.467600,41.9,9.2,5.27,1.23,22/09/2021 16:32:58,-1,7.465,1.957,1,0,0,0.0,0.0
33,-1,1,69,7058.471148,0.334750,1764.322590,0.463637,178.6,16.4,8.02,0.70,22/09/2021 16:32:58,-1,20.932,2.350,1,0,0,0.0,0.0
34,-1,1,69,7390.186364,0.853486,1847.233813,0.521460,38.6,9.7,7.26,1.76,22/09/2021 16:32:58,-1,5.000,1.391,1,0,0,0.0,0.0
