"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,114,128.472214,0.098497,32.190146,0.534680,723.2,50.4,3.00,0.19,07/10/2021 10:02:00,-1,226.547,15.761,230,0,0,0.0,0.0
2,-1,1,114,145.559975,0.129068,36.461181,0.533891,512.1,45.2,3.00,0.19,07/10/2021 10:02:00,-1,160.427,13.815,216,0,0,0.0,0.0
3,-1,1,114,291.407548,0.169651,72.915344,0.524515,404.8,44.6,3.11,0.23,07/10/2021 10:02:00,-1,122.247,12.771,222,0,0,0.0,0.0
4,-1,1,114,300.020877,0.111857,75.068220,0.522954,646.6,50.4,3.11,0.23,07/10/2021 10:02:00,-1,195.257,14.954,222,0,0,0.0,0.0
5,-1,1,114,339.802426,0.229728,85.011499,0.522644,287.1,48.5,3.06,0.55,07/10/2021 10:02:00,-1,88.269,14.407,235,0,0,0.0,0.0
6,-1,1,114,941.546540,0.467515,235.415635,0.494082,99.0,36.8,2.53,0.77,07/10/2021 10:02:00,-1,36.786,13.118,229,0,0,0.0,0.0
7,-1,1,114,954.323652,0.425063,238.609235,0.490902,110.6,37.9,2.53,0.77,07/10/2021 10:02:00,-1,41.099,13.343,229,0,0,0.0,0.0
8,-1,1,114,2435.980955,0.638772,608.945033,0.432343,94.1,26.1,5.15,1.49,07/10/2021 10:02:00,-1,17.173,4.494,31,0,0,0.0,0.0
9,-1,1,114,2646.089287,0.009909,661.460981,0.393730,166264.5,409.9,5.10,0.01,07/10/2021 10:02:00,-1,29681.101,160.657,24,0,0,0.0,0.0
10,-1,1,114,3180.872901,0.794875,795.128541,0.426420,30.7,10.3,5.10,1.78,07/10/2021 10:02:00,-1,5.661,2.022,3,0,0,0.0,0.0
11,-1,1,114,3644.052637,0.559781,910.898926,0.393990,76.5,13.7,6.93,1.32,07/10/2021 10:02:00,-1,10.368,2.115,2,0,0,0.0,0.0
12,-1,1,114,3874.742508,0.694773,968.559167,0.404894,51.0,11.9,6.53,1.60,07/10/2021 10:02:00,-1,7.340,1.900,2,0,0,0.0,0.0
13,-1,1,114,4517.948888,0.691666,1129.326672,0.404508,23.3,7.9,4.38,1.61,07/10/2021 10:02:00,-1,5.000,1.858,2,0,0,0.0,0.0
14,-1,1,114,5843.008286,0.131781,1460.521294,0.398399,828.8,31.2,7.78,0.24,07/10/2021 10:02:00,-1,100.029,4.563,1,0,0,0.0,0.0
15,-1,1,114,6919.963725,0.426798,1729.703075,0.460687,28.1,5.3,5.27,1.09,07/10/2021 10:02:00,-1,5.000,1.286,0,0,0,0.0,0.0
16,-1,1,114,7059.343393,0.621597,1764.540605,0.481813,54.6,10.0,7.28,1.22,07/10/2021 10:02:00,-1,7.047,1.489,0,0,0,0.0,0.0
