"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,95,291.291222,0.278320,72.886269,0.527414,180.8,30.9,3.32,0.36,04/10/2021 12:06:01,-1,51.219,8.215,99,0,0,0.0,0.0
2,-1,1,95,300.117983,0.179144,75.092491,0.524115,305.8,36.3,3.32,0.36,04/10/2021 12:06:01,-1,86.610,9.715,103,0,0,0.0,0.0
3,-1,1,95,487.995156,0.003971,122.051827,0.509450,181845.0,469.5,3.31,0.01,04/10/2021 12:06:01,-1,51256.199,153.825,174,0,0,0.0,0.0
4,-1,1,95,545.497831,0.097539,136.424448,0.506199,22282.1,150.4,3.32,0.06,04/10/2021 12:06:01,-1,5888.000,1392.403,22,0,0,0.0,0.0
5,-1,1,95,2767.458421,0.269814,691.796832,0.395262,109.4,12.7,5.06,0.53,04/10/2021 12:06:01,-1,20.318,2.805,0,0,0,0.0,0.0
6,-1,1,95,4693.290267,0.539444,1173.152724,0.391442,28.7,7.3,4.45,1.13,04/10/2021 12:06:01,-1,6.066,1.909,0,0,0,0.0,0.0
7,-1,1,95,5330.452042,0.508856,1332.409398,0.400923,29.6,7.3,4.70,0.98,04/10/2021 12:06:01,-1,5.909,1.790,0,0,0,0.0,0.0
8,-1,1,95,5842.498426,0.454053,1460.393856,0.412918,100.1,12.6,7.84,0.89,04/10/2021 12:06:01,-1,11.986,1.778,0,0,0,0.0,0.0
