"SERIAL #,""PEAK_ID"",""EMPLOYEE_ID"",""PEAKEVAL_ID"",""POS"",""POSUNC"",""E"",""EUNC"",""AREA"",""AREAUNC"",""FWHM"",""FWHMUNC"",""CREATIONDATE"",""PEAKEVALPEAK_ID"",""HEIGHT"",""HEIGHTUNC"",""BACKGROUND"",""EFF"",""EFFUNC"",""EFF.CORR.AREA"",""EFF.CORR.AREA UNC"""
1,-1,1,84,291.336000,0.167271,72.897461,0.524472,768.3,73.6,3.56,0.18,28/09/2021 18:03:05,-1,202.610,18.248,578,0,0,0.0,0.0
2,-1,1,84,300.092565,0.086141,75.086138,0.522644,1642.8,87.8,3.56,0.18,28/09/2021 18:03:05,-1,433.252,22.127,588,0,0,0.0,0.0
3,-1,1,84,308.075792,0.403222,77.081522,0.531299,311.0,67.3,3.56,0.18,28/09/2021 18:03:05,-1,82.027,17.195,598,0,0,0.0,0.0
4,-1,1,84,339.173495,0.179681,84.854299,0.521461,831.1,89.0,3.81,0.40,28/09/2021 18:03:05,-1,205.130,19.950,631,0,0,0.0,0.0
5,-1,1,84,349.370711,0.336634,87.403063,0.525605,425.7,76.9,3.81,0.40,28/09/2021 18:03:05,-1,105.078,17.634,638,0,0,0.0,0.0
6,-1,1,84,943.847974,0.723263,235.990871,0.512840,109.4,44.2,3.20,0.24,28/09/2021 18:03:05,-1,32.125,12.794,330,0,0,0.0,0.0
7,-1,1,84,953.974365,0.101962,238.521932,0.479966,889.5,62.0,3.20,0.24,28/09/2021 18:03:05,-1,261.232,18.375,325,0,0,0.0,0.0
8,-1,1,84,1180.337853,0.210012,295.100807,0.468432,507.3,55.9,4.31,0.51,28/09/2021 18:03:05,-1,110.602,11.971,206,0,0,0.0,0.0
9,-1,1,84,1279.840296,0.004403,319.971144,0.459607,167823.9,414.2,4.09,0.01,28/09/2021 18:03:05,-1,38584.765,117.348,180,0,0,0.0,0.0
10,-1,1,84,1353.264602,0.211698,338.323329,0.458414,242.4,36.1,3.11,0.50,28/09/2021 18:03:05,-1,73.331,11.075,125,0,0,0.0,0.0
