"SERIAL #,""PEAK_ID"",""EMPLOYEE_ID"",""PEAKEVAL_ID"",""POS"",""POSUNC"",""E"",""EUNC"",""AREA"",""AREAUNC"",""FWHM"",""FWHMUNC"",""CREATIONDATE"",""PEAKEVALPEAK_ID"",""HEIGHT"",""HEIGHTUNC"",""BACKGROUND"",""EFF"",""EFFUNC"",""EFF.CORR.AREA"",""EFF.CORR.AREA UNC"""
1,-1,1,77,253.966956,0.384678,63.557180,0.534104,216.2,60.1,3.16,0.94,23/09/2021 16:33:39,-1,64.374,16.560,368,0,0,0.0,0.0
2,-1,1,77,290.957173,0.197731,72.802774,0.525159,536.0,61.6,3.47,0.24,23/09/2021 16:33:39,-1,145.132,15.642,415,0,0,0.0,0.0
3,-1,1,77,299.900883,0.111723,75.038228,0.522960,1013.6,72.8,3.47,0.24,23/09/2021 16:33:39,-1,274.442,18.778,425,0,0,0.0,0.0
4,-1,1,77,339.207061,0.316833,84.862689,0.525522,389.5,75.9,3.80,0.77,23/09/2021 16:33:39,-1,96.361,16.983,453,0,0,0.0,0.0
5,-1,1,77,742.040605,0.508793,185.549725,0.508880,115.0,53.6,2.37,1.20,23/09/2021 16:33:39,-1,45.535,20.090,442,0,0,0.0,0.0
6,-1,1,77,953.838539,0.154812,238.487983,0.480857,624.7,55.4,3.91,0.37,23/09/2021 16:33:39,-1,150.033,13.257,212,0,0,0.0,0.0
8,-1,1,77,1169.560138,0.670866,292.406949,0.495369,104.6,35.3,3.92,0.64,23/09/2021 16:33:39,-1,25.066,8.062,143,0,0,0.0,0.0
9,-1,1,77,1180.461577,0.287702,295.131731,0.470997,267.9,43.4,3.92,0.64,23/09/2021 16:33:39,-1,64.230,9.667,143,0,0,0.0,0.0
10,-1,1,77,1279.863979,0.004408,319.977064,0.459606,165146.8,409.9,4.09,0.01,23/09/2021 16:33:39,-1,37973.985,116.234,122,0,0,0.0,0.0
11,-1,1,77,1352.489296,0.438294,338.129544,0.468386,175.7,36.8,4.77,1.05,23/09/2021 16:33:39,-1,34.574,6.762,74,0,0,0.0,0.0
12,-1,1,77,1407.262533,0.127817,351.819950,0.453391,549.0,37.9,4.08,0.29,23/09/2021 16:33:39,-1,126.466,9.273,69,0,0,0.0,0.0
13,-1,1,77,1851.499931,0.692282,462.855755,0.462036,47.7,22.5,3.15,1.59,23/09/2021 16:33:39,-1,14.241,6.424,47,0,0,0.0,0.0
14,-1,1,77,1910.034219,0.604745,477.486225,0.451538,51.4,21.5,3.13,1.40,23/09/2021 16:33:39,-1,15.420,6.440,43,0,0,0.0,0.0
15,-1,1,77,2042.934332,0.186458,510.704209,0.421634,1264.5,57.1,9.94,0.44,23/09/2021 16:33:39,-1,119.518,5.285,41,0,0,0.0,0.0
16,-1,1,77,2332.047506,0.155967,582.967180,0.407947,447.9,31.9,4.71,0.34,23/09/2021 16:33:39,-1,89.399,6.839,35,0,0,0.0,0.0
17,-1,1,77,2436.325179,0.127312,609.031071,0.403027,685.2,35.9,5.33,0.29,23/09/2021 16:33:39,-1,120.821,7.129,32,0,0,0.0,0.0
18,-1,1,77,2475.371162,0.697780,618.790498,0.436558,52.5,21.1,3.78,1.63,23/09/2021 16:33:39,-1,13.036,5.119,32,0,0,0.0,0.0
19,-1,1,77,2645.843772,0.699386,661.399615,0.430793,46.0,19.7,3.53,1.62,23/09/2021 16:33:39,-1,12.247,5.043,29,0,0,0.0,0.0
20,-1,1,77,2908.341845,0.617080,727.010221,0.414660,120.4,27.0,6.15,1.43,23/09/2021 16:33:39,-1,18.380,3.975,27,0,0,0.0,0.0
21,-1,1,77,3441.181975,0.577279,860.192013,0.398653,110.6,24.6,5.74,1.34,23/09/2021 16:33:39,-1,18.106,3.904,23,0,0,0.0,0.0
22,-1,1,77,3644.031915,0.166072,910.893747,0.370641,447.1,30.1,5.33,0.37,23/09/2021 16:33:39,-1,78.798,5.914,23,0,0,0.0,0.0
23,-1,1,77,3857.711362,0.574022,964.302283,0.393029,119.1,21.3,6.32,0.58,23/09/2021 16:33:39,-1,17.705,3.058,19,0,0,0.0,0.0
24,-1,1,77,3875.026124,0.280611,968.630056,0.372424,280.9,27.2,6.32,0.58,23/09/2021 16:33:39,-1,41.741,4.258,19,0,0,0.0,0.0
