"SERIAL #,""PEAK_ID"",""EMPLOYEE_ID"",""PEAKEVAL_ID"",""POS"",""POSUNC"",""E"",""EUNC"",""AREA"",""AREAUNC"",""FWHM"",""FWHMUNC"",""CREATIONDATE"",""PEAKEVALPEAK_ID"",""HEIGHT"",""HEIGHTUNC"",""BACKGROUND"",""EFF"",""EFFUNC"",""EFF.CORR.AREA"",""EFF.CORR.AREA UNC"""
27,-1,1,77,4480.663149,0.272922,1120.007214,0.371735,282.4,23.9,6.34,0.10,23/09/2021 16:33:39,-1,41.870,3.526,16,0,0,0.0,0.0
28,-1,1,77,4582.673338,0.742564,1145.504354,0.410614,45.2,16.3,4.40,1.66,23/09/2021 16:33:39,-1,9.649,3.520,14,0,0,0.0,0.0
29,-1,1,77,4925.116405,1.474562,1231.096972,0.522956,30.3,15.6,5.69,1.09,23/09/2021 16:33:39,-1,5.000,2.512,15,0,0,0.0,0.0
30,-1,1,77,4952.241629,0.478923,1237.876840,0.390311,113.2,20.4,5.69,1.09,23/09/2021 16:33:39,-1,18.689,3.478,14,0,0,0.0,0.0
32,-1,1,77,5510.389105,0.450331,1377.384127,0.401586,98.5,16.7,5.78,1.05,23/09/2021 16:33:39,-1,16.021,3.029,7,0,0,0.0,0.0
33,-1,1,77,5843.825708,0.247615,1460.725606,0.401861,4878.0,73.4,7.11,0.22,23/09/2021 16:33:39,-1,459.707,72.645,4,0,0,0.0,0.0
34,-1,1,77,6352.459504,0.604406,1587.857097,0.445245,87.1,14.8,7.45,1.10,23/09/2021 16:33:39,-1,10.985,1.915,3,0,0,0.0,0.0
35,-1,1,77,6371.134137,0.793361,1592.524766,0.464205,53.9,12.1,7.45,1.10,23/09/2021 16:33:39,-1,6.791,1.586,3,0,0,0.0,0.0
37,-1,1,77,6520.217411,0.769733,1629.787683,0.468334,27.3,9.1,5.13,1.81,23/09/2021 16:33:39,-1,5.000,1.992,2,0,0,0.0,0.0
38,-1,1,77,6918.990560,0.935741,1729.459835,0.505477,62.3,13.3,9.60,2.03,23/09/2021 16:33:39,-1,6.090,1.354,1,0,0,0.0,0.0
39,-1,1,77,7058.753621,0.221054,1764.393193,0.459376,343.5,21.9,7.51,0.43,23/09/2021 16:33:39,-1,42.941,3.261,2,0,0,0.0,0.0
