"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,96,291.439319,0.390618,72.923285,0.531834,182.1,43.5,3.30,0.48,04/10/2021 13:43:53,-1,51.843,11.517,230,0,0,0.0,0.0
2,-1,1,96,299.691976,0.223502,74.986012,0.525208,334.1,50.6,3.30,0.48,04/10/2021 13:43:53,-1,95.098,13.261,233,0,0,0.0,0.0
3,-1,1,96,954.239997,0.334162,238.588326,0.486496,141.5,40.9,2.53,0.80,04/10/2021 13:43:53,-1,52.612,14.678,225,0,0,0.0,0.0
5,-1,1,96,1036.897815,0.621419,259.248400,0.498954,81.6,40.0,2.79,1.48,04/10/2021 13:43:53,-1,27.490,12.631,199,0,0,0.0,0.0
6,-1,1,96,1180.510325,0.390566,295.143916,0.475598,192.0,45.5,3.65,0.93,04/10/2021 13:43:53,-1,49.357,11.231,185,0,0,0.0,0.0
7,-1,1,96,1407.070949,0.418614,351.772064,0.464220,110.6,35.2,2.83,0.96,04/10/2021 13:43:53,-1,36.703,11.261,151,0,0,0.0,0.0
10,-1,1,96,2043.266010,0.044666,510.787111,0.419184,17453.7,156.1,11.45,0.09,04/10/2021 13:43:53,-1,1431.984,14.692,123,0,0,0.0,0.0
12,-1,1,96,2436.148025,0.427944,608.986792,0.415770,206.4,42.8,4.63,1.04,04/10/2021 13:43:53,-1,41.906,8.398,124,0,0,0.0,0.0
14,-1,1,96,4462.166192,0.015642,1115.383955,0.365317,169752.0,413.8,6.21,0.02,04/10/2021 13:43:53,-1,24019.501,199.224,20,0,0,0.0,0.0
15,-1,1,96,4481.692739,0.447630,1120.264557,0.382174,101.5,14.4,6.21,0.02,04/10/2021 13:43:53,-1,14.360,2.046,4,0,0,0.0,0.0
16,-1,1,96,4910.723679,0.767246,1227.499553,0.417410,24.1,9.0,4.54,1.55,04/10/2021 13:43:53,-1,5.000,2.079,3,0,0,0.0,0.0
17,-1,1,96,4952.447045,1.041664,1237.928183,0.453656,55.5,15.1,8.46,2.37,04/10/2021 13:43:53,-1,6.164,1.608,3,0,0,0.0,0.0
18,-1,1,96,5510.253470,0.841805,1377.350226,0.439169,33.7,9.6,6.33,1.92,04/10/2021 13:43:53,-1,5.000,1.458,1,0,0,0.0,0.0
19,-1,1,96,5843.411189,0.127753,1460.621998,0.398333,1604.2,43.6,7.38,0.21,04/10/2021 13:43:53,-1,179.925,7.133,0,0,0,0.0,0.0
21,-1,1,96,6373.085978,0.694850,1593.012623,0.454318,27.0,7.5,5.08,1.48,04/10/2021 13:43:53,-1,5.000,1.488,1,0,0,0.0,0.0
22,-1,1,96,6917.615901,0.560761,1729.116243,0.469447,28.0,6.0,5.27,1.22,04/10/2021 13:43:53,-1,5.000,1.176,0,0,0,0.0,0.0
23,-1,1,96,7059.145342,0.440997,1764.491102,0.469195,107.4,13.3,7.71,0.89,04/10/2021 13:43:53,-1,13.092,1.903,0,0,0,0.0,0.0
24,-1,1,96,7391.402323,0.602916,1847.537738,0.499193,28.9,6.6,5.43,1.28,04/10/2021 13:43:53,-1,5.000,1.265,0,0,0,0.0,0.0
