"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,70,275.864071,0.042852,69.030299,0.523977,2449.0,65.0,3.35,0.05,22/09/2021 16:34:07,-1,685.932,18.586,215,0,0,0.0,0.0
2,-1,1,70,283.482514,0.029195,70.934506,0.523394,4174.2,78.6,3.35,0.05,22/09/2021 16:34:07,-1,1169.148,24.107,211,0,0,0.0,0.0
3,-1,1,70,300.628729,0.480450,75.220151,0.535795,139.2,38.0,3.35,0.05,22/09/2021 16:34:07,-1,38.980,10.573,203,0,0,0.0,0.0
4,-1,1,70,320.773148,0.060472,80.255188,0.521001,1510.2,54.5,3.35,0.05,22/09/2021 16:34:07,-1,422.985,15.242,199,0,0,0.0,0.0
5,-1,1,70,330.136114,0.162826,82.595433,0.521731,460.9,41.6,3.35,0.05,22/09/2021 16:34:07,-1,129.081,11.593,199,0,0,0.0,0.0
7,-1,1,70,1646.704068,0.009561,411.667643,0.439062,173281.5,418.4,4.33,0.01,22/09/2021 16:34:07,-1,36908.667,259.327,34,0,0,0.0,0.0
8,-1,1,70,2702.973501,0.078114,675.679019,0.392176,892.9,30.8,5.05,0.15,22/09/2021 16:34:07,-1,166.023,7.153,1,0,0,0.0,0.0
9,-1,1,70,3293.210618,0.501354,823.207016,0.395063,47.4,9.4,5.37,0.92,22/09/2021 16:34:07,-1,8.292,1.826,0,0,0,0.0,0.0
10,-1,1,70,4350.218036,0.246155,1087.402849,0.369868,184.6,15.8,6.40,0.50,22/09/2021 16:34:07,-1,27.094,2.898,0,0,0,0.0,0.0
11,-1,1,70,4462.657660,0.422830,1115.506796,0.380280,46.5,9.0,4.73,0.90,22/09/2021 16:34:07,-1,9.251,2.142,0,0,0,0.0,0.0
12,-1,1,70,5843.411425,0.313803,1460.622057,0.404724,151.4,14.6,7.06,0.63,22/09/2021 16:34:07,-1,20.140,2.398,0,0,0,0.0,0.0
