"SERIAL #","PEAK_ID","EMPLOYEE_ID","PEAKEVAL_ID","POS","POSUNC","E","EUNC","AREA","AREAUNC","FWHM","FWHMUNC","CREATIONDATE","PEAKEVALPEAK_ID","HEIGHT","HEIGHTUNC","BACKGROUND","EFF","EFFUNC","EFF.CORR.AREA","EFF.CORR.AREA UNC"
1,-1,1,131,187.828596,0.311872,47.026096,0.535667,190.6,61.1,2.14,0.74,18/10/2021 09:15:52,-1,83.752,25.286,612,0,0,0.0,0.0
2,-1,1,131,267.960469,0.837989,67.054817,0.564694,1824.0,234.6,3.68,1.12,18/10/2021 09:15:52,-1,158.696,155.075,1332,0,0,0.0,0.0
3,-1,1,131,274.384046,0.905699,68.660371,0.570781,1450.4,246.0,3.68,1.12,18/10/2021 09:15:52,-1,126.194,120.745,1428,0,0,0.0,0.0
4,-1,1,131,291.492201,0.120849,72.936503,0.523664,5579.7,1268.3,2.96,0.26,18/10/2021 09:15:52,-1,695.804,164.148,1401,0,0,0.0,0.0
5,-1,1,131,300.031351,0.116474,75.070838,0.523016,10117.2,2377.0,2.96,0.26,18/10/2021 09:15:52,-1,1261.640,311.463,1441,0,0,0.0,0.0
6,-1,1,131,308.096820,0.312165,77.086777,0.527454,1362.2,289.4,2.96,0.26,18/10/2021 09:15:52,-1,169.865,32.926,1576,0,0,0.0,0.0
7,-1,1,131,336.000000,0.180625,84.061094,0.521697,1435.0,131.0,3.23,0.01,18/10/2021 09:15:52,-1,417.987,38.118,1944,0,0,0.0,0.0
8,-1,1,131,339.588002,0.099129,84.957904,0.520085,2608.9,134.5,3.23,0.01,18/10/2021 09:15:52,-1,759.946,39.078,1821,0,0,0.0,0.0
9,-1,1,131,352.317330,0.003578,88.139561,0.518626,183586.7,447.6,3.23,0.01,18/10/2021 09:15:52,-1,53476.048,159.673,1251,0,0,0.0,0.0
10,-1,1,131,371.631307,0.177530,92.967032,0.519209,733.5,74.9,3.23,0.01,18/10/2021 09:15:52,-1,213.672,21.786,800,0,0,0.0,0.0
11,-1,1,131,517.346787,0.337059,129.388179,0.514432,211.7,71.1,2.20,0.81,18/10/2021 09:15:52,-1,90.570,28.919,830,0,0,0.0,0.0
12,-1,1,131,742.314451,0.279192,185.618172,0.497633,630.2,92.6,4.40,0.68,18/10/2021 09:15:52,-1,134.431,18.034,586,0,0,0.0,0.0
13,-1,1,131,954.000862,0.076033,238.528555,0.479664,2139.2,87.0,4.18,0.17,18/10/2021 09:15:52,-1,481.099,19.810,428,0,0,0.0,0.0
15,-1,1,131,965.965164,0.312200,241.518996,0.484864,443.3,63.4,4.18,0.17,18/10/2021 09:15:52,-1,99.688,13.737,415,0,0,0.0,0.0
16,-1,1,131,1180.105399,0.149847,295.042706,0.467000,888.0,68.9,4.35,0.35,18/10/2021 09:15:52,-1,191.926,14.441,292,0,0,0.0,0.0
17,-1,1,131,1352.801490,0.219373,338.207576,0.458666,521.9,59.6,4.36,0.53,18/10/2021 09:15:52,-1,112.352,12.403,233,0,0,0.0,0.0
18,-1,1,131,1407.212614,0.080650,351.807473,0.452716,1769.4,69.0,4.57,0.19,18/10/2021 09:15:52,-1,363.760,15.134,217,0,0,0.0,0.0
19,-1,1,131,2043.060717,0.123660,510.735799,0.420183,2874.4,87.6,9.54,0.29,18/10/2021 09:15:52,-1,283.075,8.820,129,0,0,0.0,0.0
20,-1,1,131,2332.404458,0.091902,583.056399,0.406714,1556.2,58.0,5.41,0.20,18/10/2021 09:15:52,-1,270.452,11.011,108,0,0,0.0,0.0
21,-1,1,131,2436.833969,0.068829,609.158242,0.402116,2204.8,62.2,5.30,0.15,18/10/2021 09:15:52,-1,390.518,12.414,101,0,0,0.0,0.0
22,-1,1,131,2645.758400,0.541019,661.378276,0.416309,114.2,31.8,4.01,1.01,18/10/2021 09:15:52,-1,26.753,6.964,90,0,0,0.0,0.0
23,-1,1,131,2660.942324,0.629667,665.173453,0.423514,95.8,30.2,4.01,1.01,18/10/2021 09:15:52,-1,22.442,6.679,90,0,0,0.0,0.0
24,-1,1,131,2908.845884,0.328764,727.136204,0.393566,363.7,43.8,6.15,0.78,18/10/2021 09:15:52,-1,55.593,6.488,80,0,0,0.0,0.0
25,-1,1,131,3073.629666,0.377903,768.323416,0.391663,247.4,39.0,5.34,0.90,18/10/2021 09:15:52,-1,43.541,6.597,77,0,0,0.0,0.0
26,-1,1,131,3179.411578,0.381854,794.763287,0.389228,255.4,39.0,5.58,0.90,18/10/2021 09:15:52,-1,42.988,6.332,71,0,0,0.0,0.0
27,-1,1,131,3342.864256,0.594132,835.617794,0.402019,149.2,34.3,5.45,1.04,18/10/2021 09:15:52,-1,25.725,5.560,66,0,0,0.0,0.0
28,-1,1,131,3361.377702,0.598585,840.245174,0.402072,146.1,33.6,5.45,1.04,18/10/2021 09:15:52,-1,25.190,5.484,65,0,0,0.0,0.0
29,-1,1,131,3441.907478,0.412082,860.373350,0.385621,344.3,44.7,7.27,0.99,18/10/2021 09:15:52,-1,44.510,5.369,64,0,0,0.0,0.0
30,-1,1,131,3644.812207,0.098273,911.088778,0.369117,1501.9,52.6,6.17,0.22,18/10/2021 09:15:52,-1,228.778,9.087,64,0,0,0.0,0.0
31,-1,1,131,3735.994236,0.576740,933.879453,0.394423,185.5,38.2,6.37,1.39,18/10/2021 09:15:52,-1,27.359,5.395,58,0,0,0.0,0.0
32,-1,1,131,3859.088768,0.274621,964.646562,0.372276,475.2,37.7,6.89,0.30,18/10/2021 09:15:52,-1,64.792,4.904,54,0,0,0.0,0.0
33,-1,1,131,3875.646855,0.146264,968.785206,0.367578,1007.8,47.0,6.89,0.30,18/10/2021 09:15:52,-1,137.420,6.700,54,0,0,0.0,0.0
34,-1,1,131,4472.632806,1.885137,1118.000054,0.596245,59.6,28.8,6.33,0.34,18/10/2021 09:15:52,-1,8.839,4.385,52,0,0,0.0,0.0
35,-1,1,131,4481.581557,0.151735,1120.236767,0.367392,938.1,47.2,6.33,0.34,18/10/2021 09:15:52,-1,139.155,7.187,51,0,0,0.0,0.0
36,-1,1,131,4500.360592,2.128078,1124.930531,0.645417,42.3,27.0,6.33,0.34,18/10/2021 09:15:52,-1,6.268,3.973,50,0,0,0.0,0.0
37,-1,1,131,4953.187793,0.341256,1238.113331,0.381185,430.4,42.6,7.72,0.80,18/10/2021 09:15:52,-1,52.403,5.179,50,0,0,0.0,0.0
38,-1,1,131,5125.377444,0.538781,1281.151618,0.398523,98.9,25.3,4.62,1.31,18/10/2021 09:15:52,-1,20.114,5.444,39,0,0,0.0,0.0
39,-1,1,131,5511.312013,0.348150,1377.614805,0.395217,280.6,30.1,7.05,0.76,18/10/2021 09:15:52,-1,37.371,4.118,24,0,0,0.0,0.0
40,-1,1,131,5539.930161,0.953423,1384.767825,0.453995,84.1,22.2,7.05,0.76,18/10/2021 09:15:52,-1,11.194,2.884,23,0,0,0.0,0.0
41,-1,1,131,5606.355757,0.939782,1401.370704,0.454066,63.4,19.7,5.92,0.94,18/10/2021 09:15:52,-1,10.057,3.051,22,0,0,0.0,0.0
42,-1,1,131,5633.228705,0.432231,1408.087517,0.404195,158.6,24.9,5.92,0.94,18/10/2021 09:15:52,-1,25.164,4.011,22,0,0,0.0,0.0
43,-1,1,131,5844.718302,0.067252,1460.948707,0.397456,16561.0,135.2,7.10,0.08,18/10/2021 09:15:52,-1,1721.225,46.924,16,0,0,0.0,0.0
44,-1,1,131,5985.347701,0.700142,1496.098603,0.439033,82.0,19.7,6.30,1.58,18/10/2021 09:15:52,-1,12.219,2.907,12,0,0,0.0,0.0
45,-1,1,131,6037.796744,0.477244,1509.208084,0.422021,131.7,21.1,6.41,1.06,18/10/2021 09:15:52,-1,19.303,3.202,12,0,0,0.0,0.0
47,-1,1,131,6174.964575,0.942632,1543.492772,0.473492,37.4,15.0,5.01,2.18,18/10/2021 09:15:52,-1,7.013,2.915,11,0,0,0.0,0.0
48,-1,1,131,6332.875699,0.794700,1582.962184,0.462714,87.6,17.7,7.71,0.51,18/10/2021 09:15:52,-1,10.676,2.095,10,0,0,0.0,0.0
49,-1,1,131,6354.206042,0.296170,1588.293639,0.425406,306.3,25.0,7.71,0.51,18/10/2021 09:15:52,-1,37.319,3.222,10,0,0,0.0,0.0
50,-1,1,131,6372.454509,0.389672,1592.854789,0.430932,215.7,22.3,7.71,0.51,18/10/2021 09:15:52,-1,26.289,2.717,10,0,0,0.0,0.0
51,-1,1,131,6484.775316,0.484426,1620.929038,0.442133,155.8,20.2,7.55,0.77,18/10/2021 09:15:52,-1,19.380,2.490,9,0,0,0.0,0.0
52,-1,1,131,6523.121282,0.522808,1630.513497,0.446679,134.3,19.1,7.55,0.77,18/10/2021 09:15:52,-1,16.711,2.408,9,0,0,0.0,0.0
53,-1,1,131,6550.927284,1.191924,1637.463523,0.521916,51.9,15.2,7.55,0.77,18/10/2021 09:15:52,-1,6.456,1.834,9,0,0,0.0,0.0
54,-1,1,131,6920.165193,0.413141,1729.753431,0.459920,246.1,24.1,9.30,0.91,18/10/2021 09:15:52,-1,24.849,2.640,7,0,0,0.0,0.0
55,-1,1,131,7059.884722,0.130944,1764.675908,0.457280,1175.1,38.8,8.64,0.27,18/10/2021 09:15:52,-1,127.702,5.008,7,0,0,0.0,0.0
56,-1,1,131,7392.043716,0.416136,1847.698052,0.487176,127.7,18.1,6.29,0.93,18/10/2021 09:15:52,-1,19.068,2.964,7,0,0,0.0,0.0
57,-1,1,131,7617.530927,1.370748,1904.057904,0.598008,41.2,15.8,7.75,3.03,18/10/2021 09:15:52,-1,5.000,1.745,6,0,0,0.0,0.0
